Unnamed: 0,Unnamed: 1,blockNum,uniqueId,hash,from,to,value,erc721TokenId,erc1155Metadata,tokenId,asset,category,rawContract
0x88e343f4599292c2cffe683c1bb93cd3480bdbab,0,0x498b96,0x8d9aecf15a8f8d019f3972c93f776933710b86f7314e68868dcbb050647fb163:external,0x8d9aecf15a8f8d019f3972c93f776933710b86f7314e68868dcbb050647fb163,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,0xa8fd99b8ef3efd86ad85a03e6b698981d7693b4e,0.2,,,,ETH,external,"{'value': '0x2c68af0bb140000', 'address': None, 'decimal': '0x12'}"
0x88e343f4599292c2cffe683c1bb93cd3480bdbab,1,0x49dc99,0xa255564f299ac462ceda0e95fa485fa4cf8b1d657720fbb8cc6badc48c3dbfa4:log:52,0xa255564f299ac462ceda0e95fa485fa4cf8b1d657720fbb8cc6badc48c3dbfa4,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,0xa30d8157911ef23c46c0eb71889efe6a648a41f7,0.8,,,,EOS,erc20,"{'value': '0x0b1a2bc2ec500000', 'address': '0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0', 'decimal': '0x12'}"
0x88e343f4599292c2cffe683c1bb93cd3480bdbab,2,0x49dc99,0xa255564f299ac462ceda0e95fa485fa4cf8b1d657720fbb8cc6badc48c3dbfa4:external,0xa255564f299ac462ceda0e95fa485fa4cf8b1d657720fbb8cc6badc48c3dbfa4,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0.0,,,,ETH,external,"{'value': '0x0', 'address': None, 'decimal': '0x12'}"
0x88e343f4599292c2cffe683c1bb93cd3480bdbab,3,0x4fb3ba,0x459346ebd77950728c333eb5aa7381d09e152093059e8e4a20135fc140e7ad56:log:50,0x459346ebd77950728c333eb5aa7381d09e152093059e8e4a20135fc140e7ad56,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,0xa30d8157911ef23c46c0eb71889efe6a648a41f7,5000000.0,,,,EOS,erc20,"{'value': '0x0422ca8b0a00a425000000', 'address': '0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0', 'decimal': '0x12'}"
0x88e343f4599292c2cffe683c1bb93cd3480bdbab,4,0x4fb3ba,0x459346ebd77950728c333eb5aa7381d09e152093059e8e4a20135fc140e7ad56:external,0x459346ebd77950728c333eb5aa7381d09e152093059e8e4a20135fc140e7ad56,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0.0,,,,ETH,external,"{'value': '0x0', 'address': None, 'decimal': '0x12'}"
0x88e343f4599292c2cffe683c1bb93cd3480bdbab,5,0x5155a5,0x17d1aab5cef3f429c9b1876660a263f2e057f35f64e95ee60382cd730594ed3c:external,0x17d1aab5cef3f429c9b1876660a263f2e057f35f64e95ee60382cd730594ed3c,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,0xa30d8157911ef23c46c0eb71889efe6a648a41f7,20000.0,,,,ETH,external,"{'value': '0x43c33c1937564800000', 'address': None, 'decimal': '0x12'}"
0x88e343f4599292c2cffe683c1bb93cd3480bdbab,6,0x54ae67,0x2dc4b8f322e5f05dec696c62d69b0d513aaa3146b907dd066eec6f191339058c:log:69,0x2dc4b8f322e5f05dec696c62d69b0d513aaa3146b907dd066eec6f191339058c,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,0xa30d8157911ef23c46c0eb71889efe6a648a41f7,1000000.0,,,,EOS,erc20,"{'value': '0xd3c21bcecceda1000000', 'address': '0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0', 'decimal': '0x12'}"
0x88e343f4599292c2cffe683c1bb93cd3480bdbab,7,0x54ae67,0x2dc4b8f322e5f05dec696c62d69b0d513aaa3146b907dd066eec6f191339058c:external,0x2dc4b8f322e5f05dec696c62d69b0d513aaa3146b907dd066eec6f191339058c,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0.0,,,,ETH,external,"{'value': '0x0', 'address': None, 'decimal': '0x12'}"
0x88e343f4599292c2cffe683c1bb93cd3480bdbab,8,0x550b46,0x8abedc99a4ee9aa382faed588e36f396767f2f49b4691138a8fe0f15eb40656b:log:28,0x8abedc99a4ee9aa382faed588e36f396767f2f49b4691138a8fe0f15eb40656b,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,0xa30d8157911ef23c46c0eb71889efe6a648a41f7,3000000.0,,,,EOS,erc20,"{'value': '0x027b46536c66c8e3000000', 'address': '0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0', 'decimal': '0x12'}"
0x88e343f4599292c2cffe683c1bb93cd3480bdbab,9,0x550b46,0x8abedc99a4ee9aa382faed588e36f396767f2f49b4691138a8fe0f15eb40656b:external,0x8abedc99a4ee9aa382faed588e36f396767f2f49b4691138a8fe0f15eb40656b,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0.0,,,,ETH,external,"{'value': '0x0', 'address': None, 'decimal': '0x12'}"
