Address,Name Tag,Balance,Percentage,Txn Count
"0x1e4c6b9ca0009da2cf6d757cd4a9740b57939401","","2,283.01947 ETH","0.00190116%","2"
"0xe2bb4d51e882acfc0d82c27f0d44aa3826f403cf","","2,280.71476293 ETH","0.00189924%","11"
"0x29e690d4d224ffeef968d8c5a41c0d0a9b9192af","","2,280.25288745 ETH","0.00189885%","692"
"0x43a46a3374e0d25b7b5de593612f1a948597d15c","","2,275.99279398 ETH","0.00189531%","11"
"0x7af8607f7f9cba85ea9ae15367e5b21cb9ac4a13","","2,275.79459051 ETH","0.00189514%","2,027"
"0x6c28977a82619ed90137c248b4dbc03f9c354f71","","2,275.61809477 ETH","0.00189499%","0"
"0xd49a75bb933fca1fca9aa1303a64b6cb44ea30e1","","2,271.94312784 ETH","0.00189193%","49"
"0x29a3f9fc1126ab87b36f079d6e624dec223e1b2d","","2,267.12031999 ETH","0.00188792%","45"
"0x379b129797cc611371953d39a22aa1a4f6344b67","","2,266.9615707 ETH","0.00188778%","7"
"0x547cb2c4038ed3b500a5ecebc50c0eb540653dfc","","2,262.85470381 ETH","0.00188436%","2"
"0xa920732e6a64872f22b34acf0b77f1973e56457f","","2,261.03717208 ETH","0.00188285%","48"
"0x3cf255af6dfdd57604cc5c06f532a7d2d193df75","","2,261 ETH","0.00188282%","2"
"0x2a9ecbb27ed80c3207d167467c5bb177ed71812e","","2,260.1073862 ETH","0.00188208%","17"
"0x609499814024b4ad1aefc184044e2a3b052c34c1","","2,259.11653445 ETH","0.00188125%","11"
"0x6870fb636a531eda833f219f25293094c2d9b084","","2,258.4340386 ETH","0.00188068%","32"
"0x0973246e26e70b46a032f6f66cf58b5e6877dded","","2,257.73120465 ETH","0.00188010%","18"
"0x2198adac9c3ddb4f0c3b54f8e18cfb39bccc5d92","","2,257.59291857 ETH","0.00187998%","111"
"0xa3609cf7872faa7804281c7c5edb8b2d33001089","","2,255.29315752 ETH","0.00187807%","388"
"0xdad890433d36c4a7d8ae05c37146de1d5a5db342","","2,254.01506742 ETH","0.00187700%","60"
"0x261c216b7d79cfe4c989b43de1e35975d8d39a16","","2,250.66124156 ETH","0.00187421%","52"
"0x7891b20c690605f4e370d6944c8a5dbfac5a451c","LAToken 2","2,250.52396834 ETH","0.00187410%","4,751"
"0xcde98078fa4271afe0d96bc62724edb4c4cb63af","","2,250.497054 ETH","0.00187407%","54"
"0xab685b6d30bc7a9cac1d72e7a2914e806a405ff9","","2,250 ETH","0.00187366%","4"
"0x3d8ff7b188ab78a52b37a942f560db64c3eac3a6","","2,249.99958 ETH","0.00187366%","2"
"0x238f2f925597ed57724c20545f0273db9480721f","","2,249.95690349 ETH","0.00187362%","9"
"0xa29332b560103d52f758b978e0661420a9d40cb5","","2,247.7026302 ETH","0.00187175%","445"
"0x84c6147884b6b120e2fca00c7f5c36e63b09c416","Poloniex Hacker 18","2,244.8698028 ETH","0.00186939%","4"
"0xcb3248e23f5524eac3c67ca0ee1c4b3cc27c743e","","2,244.79249612 ETH","0.00186932%","190"
"0x78078ae830cb390042bc584cd63efd77ce698984","","2,243.67095599 ETH","0.00186839%","2"
"0xdad3d3fc9e250b65876b24873226f0c8939db53a","","2,243.34035975 ETH","0.00186811%","45"
"0x3f5765ba6f1e8c35dc58be556f169ceb6891aee1","","2,243.10388895 ETH","0.00186792%","57"
"0xddc1fe71f4ef367091447c9f369223dc7ba39f1b","","2,242.0719559 ETH","0.00186706%","4"
"0x1ef783879cd4cbb9124bf9fc455bd8a270775bf5","","2,234.60616599 ETH","0.00186084%","4"
"0x9c92e95b789c6a786129e55d63fec474fe29bbcb","","2,231.46646918 ETH","0.00185823%","31"
"0x3b6345239a23374083d27db89742a79c161c8bdd","","2,230.25322018 ETH","0.00185722%","17,308"
"0x79adf639aa12d95ddee658aa0537cb9401a985bd","","2,229.50797068 ETH","0.00185660%","15"
"0x355ac2177e84107d4188c365cd90c181fa2ac7e2","","2,227.36541261 ETH","0.00185481%","11"
"0x9f21aa62f3559faeb7c2066683414d250ea7523f","","2,225.70606582 ETH","0.00185343%","60"
"0xa401d923764e33d43e3d94a53f5f1d6ee88c8b80","","2,225.02705766 ETH","0.00185286%","16"
