Address,Name Tag,Balance,Percentage,Txn Count
"0x1575091b949c3143dbfd45154645448698ae7267","","2,400.97794373 ETH","0.00199938%","41"
"0x56099a588ad9515dd78f0f7dc831aa7d6897e9b7","","2,400.00013 ETH","0.00199857%","13"
"0xc9b83ab54c84aac4445b56a63033db3d5b017764","","2,400 ETH","0.00199857%","1"
"0x4a7494cce44855cc80582842be958a0d1c0072ee","","2,400 ETH","0.00199857%","1"
"0xab7e0b83ed9a424c6d1e6a6f87a4dbf06409c7d6","","2,400 ETH","0.00199857%","1"
"0x78905541e8a18e83ea8bf24e860a9a1ffc0fd595","","2,399.94 ETH","0.00199852%","1"
"0x2324b024aac834cbe050718848ac56f607587dc8","","2,399.77571745 ETH","0.00199838%","1,229"
"0x9d7fc2579f6a560bf52b54c03f763f7323999c65","","2,396.00476296 ETH","0.00199524%","4"
"0x99967871e6c4f9a5185abc57edede9e9540191f6","","2,387.50826537 ETH","0.00198817%","117"
"0xe0ac4c5be64a39d029b219a78ef5ea2f8b7f982a","","2,384.86516819 ETH","0.00198597%","4"
"0x77021d475e36b3ab1921a0e3a8380f069d3263de","Deribit 9","2,384.6595818 ETH","0.00198580%","42,494"
"0xebbf81b074667238f5bdcd62d43075a256e32a95","","2,379.999 ETH","0.00198191%","1"
"0xc4d15cbe36be26596fa676ff1b21421541d7e8e6","","2,379.96340147 ETH","0.00198189%","58"
"0xb3775fb83f7d12a36e0475abdd1fca35c091efbe","PowH3D","2,379.23780638 ETH","0.00198128%","408,426"
"0x5aca07704bf1cc640ca750303404d4c766c90632","","2,377.03993317 ETH","0.00197945%","868"
"0xdc3fd0208777197b6b23fd54ac1469cf1d7dfe76","","2,375.00205829 ETH","0.00197775%","38"
"0xd52055a39a3d2f7505c739f981f296ea31b50191","","2,373.9853665 ETH","0.00197691%","6,935"
"0x620aa3e7040752a4acdbe27e9bb027f0304728e7","","2,373.69221289 ETH","0.00197666%","29"
"0x866e37a704db0fce03defa0c4bcaf35ad3295ff9","","2,373.45773551 ETH","0.00197647%","1"
"0x32ae52babc7dbd21a3eac3c6d0ec90d3ef951d5f","","2,372.7370081 ETH","0.00197587%","121"
"0xe9bbe631afc17d9a3d1ca7e7831c557d0d52210d","","2,371.90882268 ETH","0.00197518%","9"
"0xfd89b03d4202f3a2d3904de59e6376089532cb45","","2,370.88011575 ETH","0.00197432%","13"
"0xc564e3d8876828592e7a62cf78e3d4265cdf0985","","2,370.0719559 ETH","0.00197365%","4"
"0xb7853f059e3f96ea720ba99d7effab9491c50429","","2,369.63077291 ETH","0.00197328%","635"
"0xdfcc8f5a00b0f6084aa0eb54ac9ebdc3977a26dc","","2,368.995976 ETH","0.00197275%","6"
"0xd473bde4457b351bc5e2d9adfc596bdf27a4232a","","2,366.97908864 ETH","0.00197107%","27"
"0xba81a382ee1a59611df6570d3eba8f4df9cffdd3","","2,365.43239459 ETH","0.00196978%","28"
"0x390dc35faaa0c59b00403863ccb067a1a7d83e7f","Poloniex Hacker 17","2,365.38798096 ETH","0.00196975%","4"
"0x89e28ec97e3452309d20c6e3ab5312327bf44ed3","","2,365.36123665 ETH","0.00196973%","1"
"0xf7b75ad2772e2301ffc6cfdac506d31f1d79409f","","2,364.99614307 ETH","0.00196942%","5"
"0x09fa00b17b4bb901fda423f391f078f19c059656","","2,364.3529 ETH","0.00196889%","4"
"0xc9ab2f3ea9354262a9b2bb51f050cf3b9b0e5a56","","2,360.45344659 ETH","0.00196564%","92"
"0xa889b294f7cc14f241ab2893b312b759968b633d","","2,360.02670773 ETH","0.00196528%","40"
"0x3896a78bf8553a7f52181fd08e765a8ef354f069","","2,357.75078349 ETH","0.00196339%","4"
"0x6906e3a8f35278bae98195810079d2965904eb5c","","2,357.50450193 ETH","0.00196318%","12"
"0xf39d30fa570db7940e5b3a3e42694665a1449e4b","","2,356.37832524 ETH","0.00196225%","3,172"
"0xa2201234a4652a704f5539058ccb9ab6ebcd486b","","2,355.06723423 ETH","0.00196115%","180"
"0xd43ed097094a78f68471c28c90c41d42ef7404b6","","2,355.01293068 ETH","0.00196111%","34"
"0x471eb7bea9573874ef3d7aed0528d15a275ea20b","","2,353.999265 ETH","0.00196026%","3"
"0x5894c87ebc8412c86c7c7269989072fbe7ea2149","","2,351.9218853 ETH","0.00195853%","11"
"0x753352692891f5608c72ded9b6ecce836db39f4f","","2,349.38739613 ETH","0.00195642%","2"
"0x230b3c88224555be98386787f564d3eea435a631","","2,348.99308388 ETH","0.00195610%","11"
"0xb9cae3a1b5b204a83f34efdee17d0354d11d0d9c","","2,347.93053207 ETH","0.00195521%","89"
"0xad8523cea4e5201adbeecd54e01b4fff1e83fd9f","","2,347.79102433 ETH","0.00195509%","160"
"0x180e2d2e2284b9e13aa7c2db24b3cb74fd111281","","2,347.64284452 ETH","0.00195497%","1"
"0xc2aa91ec89dacad6c16911d3ca81684a8790ac29","","2,346.49684988 ETH","0.00195402%","5"
"0xe7e1fb39424fb8763f96627dfd1209f5e808ab6b","","2,345.96916 ETH","0.00195358%","8"
"0x3127bf223140459b0f98fbb5a064ca5a9f980079","","2,344.64173542 ETH","0.00195247%","3"
"0xb48c398c099269e88c52cd521217b4fcfb3aa9b5","","2,343.46699674 ETH","0.00195149%","12"
"0x68a34d7b4fdf19425df890f07fdb73138d102262","","2,340.4982036 ETH","0.00194902%","9"
"0x90bc40bcde5e80ca24b3704a38667a23d5412c4e","","2,339.0246929 ETH","0.00194779%","54"
