Address,Name Tag,Balance,Percentage,Txn Count
"0x3144e5630d7fb5d5882ac069f5ce0f2187fb464d","","664.00409761 ETH","0.00055294%","59"
"0xc0e99e3981e09da3452b5bcb68ee33b6576bd5d7","","663.97284113 ETH","0.00055292%","45"
"0x8880bb98e7747f73b52a9cfa34dab9a4a06afa38","Fee Recipient: 0x888...A38","663.94818497 ETH","0.00055289%","6,991"
"0x5c5cf647934edc78d3b1d60504d82393c0ce3da9","","663.8953 ETH","0.00055285%","7"
"0xdde12807fcb6d336b71231b977c4730deff9bf6a","","663.72279289 ETH","0.00055271%","11"
"0x979ba6cefe46ec25368cb27d03ecfac286f967b1","","663.633643 ETH","0.00055263%","5"
"0x33973ce54ea9893419ac5dc689bcc326c4c83d80","","663.328696 ETH","0.00055238%","5"
"0xace0163fffa24d4589baa47341dee5cbf9d3b9b7","","663.09334316 ETH","0.00055218%","204"
"0x2e1e9cf51f87891def3ce9baafcdc78226bf03bb","","663.03470646 ETH","0.00055213%","40"
"0xd8066dda38e90675437666d4e55b44b9a1551563","","662.99041237 ETH","0.00055210%","6"
"0xb616086f87478c5dc1c7ac1fa904ba934ea50e8f","","662.96234315 ETH","0.00055207%","84"
"0x12d3d411d010891a88bff2401bd73fa41fb1316e","","662.96113915 ETH","0.00055207%","989"
"0x1457d24195cad44fe2d941d2e977e4b01d08dbed","","662.82435677 ETH","0.00055196%","75"
"0x0d01dd057170d3ff0fad5887f83dc6b13ef57bdc","","662.74821678 ETH","0.00055190%","26"
"0xf5d5a76ab20b3a86b0d6bdf9610a6a6aa943b771","","662.37045011 ETH","0.00055158%","4"
"0xad3554ffa9004f37452b57734d570404f34153da","","662.198 ETH","0.00055144%","1"
"0x51f841cd682313fc72f458b056641c82b157c019","","662.17678782 ETH","0.00055142%","33"
"0x1198550c80fde0ed6351b1b831019d80efe1c4b6","","662.11979708 ETH","0.00055137%","11"
"0x4685ba7a09a9fb7581888d0071c5d23b9d44afc2","","662.0852245 ETH","0.00055134%","7"
"0xc8721266f78b4d53e618600b2dd33393f6209356","","661.99581291 ETH","0.00055127%","55"
"0x0e72f72e7cc24334a80586d0e5e4f85b445c776d","","661.995 ETH","0.00055127%","1"
"0xe97ae7d399964015b91af4fc72fe2664525f8039","","661.91949897 ETH","0.00055121%","15"
"0xb8981d01a9106585f540016e2059ee5873518ceb","","661.8896 ETH","0.00055118%","15"
"0x9193181061ee72eec1fd9956051639c94d9d9931","","661.87948723 ETH","0.00055117%","15"
"0xd678dd0ca5231864fae5b5aa328dd23d1307d925","","661.76311645 ETH","0.00055108%","4"
"0x38bab3ddb9cef344203d6e661f1961a654458fee","","661.69101925 ETH","0.00055102%","20"
"0xf611e87642379f64062b1536b7a5b64d30b3984b","","661.52694929 ETH","0.00055088%","7"
"0x50218ddcccafc14eb218ccc09f807ad006902838","","661.49359909 ETH","0.00055085%","7"
"0x7e5474cd10743ab90cafba6b0f2aaf020b12ee18","","661.46458052 ETH","0.00055083%","2,280"
"0xe56d6939573a63c8ae671df578242c2249ad5e8f","","661.24365101 ETH","0.00055064%","8"
"0xfc50c5131f171a9e5a41b2a543ca4d866e3878e9","","661.107393 ETH","0.00055053%","7"
"0xd6f750e2d9ac6552b073cfb152ba5fdebdea0847","","660.9978197 ETH","0.00055044%","9"
"0x178503a849817119c3cd69f705ef2612acb062fa","","660.97853198 ETH","0.00055042%","203"
"0x9de47f5ce8f7ea5cdc9f5efad88b8b9882887b8b","","660.8699842 ETH","0.00055033%","4"
"0x220aee433c78cc5dd0efd00db39c12424170b001","","660.77800155 ETH","0.00055025%","194"
"0xfac44bfdc053a9615c6b0527f44416914628a0c4","","660.75748812 ETH","0.00055024%","1,506"
"0xf4d2849fe7169945a2263aa342338a5b7bbe8ebe","","660.66779724 ETH","0.00055016%","2"
"0xee37d1756d0c18c15ebd3baa04df441c034a0b6a","","660.57610254 ETH","0.00055009%","32"
"0xa1d47ea7407b8ebc565ea202e3f0b98d722ed259","","660.43904794 ETH","0.00054997%","17"
"0x72e4cd889fb794e252c351114ec5257662ccc5ab","","660.36866976 ETH","0.00054991%","62"
"0xb02f07e43536b80c9e6261470dad681b274e4e89","","660.05865218 ETH","0.00054966%","32"
"0xc076f27d7a34163ed27f90f58067c9f069f67eb9","","660.01309658 ETH","0.00054962%","38"
"0x139167568ffe987da73d9899be8220955a375baa","","659.85310574 ETH","0.00054948%","51"
"0x0b2e0c5501cb1ee63f3b69a524f991a32baab09b","","659.80849033 ETH","0.00054945%","16"
"0x8568297a3512eec6283fc87528fd2f872c7e9593","","659.62608852 ETH","0.00054930%","4"
"0x1bad89393f32beaf380782052e2d94679a49cb1f","","659.50501237 ETH","0.00054919%","8"
"0x6e3d17766f7f9d93ee68af90c520204e5962b2b6","","659.49975136 ETH","0.00054919%","4"
"0x8dac4436854ae2df5fb08860394b08ea689f12de","","659.48957708 ETH","0.00054918%","771"
"0xd1e5ba1d360e3931ec5e18b5a53a9c33024ee7b6","","659.3883436 ETH","0.00054910%","1"
"0x0001fd043311c5942e0e0b11b8e9634f35f73fad","","659.298127 ETH","0.00054902%","27"
"0x1327d759d56e0ab87af37ecf63fe01f310be100a","","659.2 ETH","0.00054894%","1"
"0xffcfe8a1693baf7d2963f72af5f8af2d52ff7115","","659.18 ETH","0.00054892%","2"
"0x756d64dc5edb56740fc617628dc832ddbcfd373c","","659.05226752 ETH","0.00054882%","1,246"
"0xcff16255e4786c1f5d0c5670d127fc954871d244","","659.03052383 ETH","0.00054880%","1"
"0x6b2929256c864ac7dc64c8d96299dc3a324ed577","","659.01247522 ETH","0.00054878%","10"
"0x4ef4149fa994502d5ff47a6fee0df2b095b1d165","","658.36102166 ETH","0.00054824%","20"
"0x75c48f71f51456aebaff3506ee98089835b4d169","","658.29764808 ETH","0.00054819%","3"
"0xa0ff894814b2c71a1a1cd6a934c555d1690c9877","","658.27320754 ETH","0.00054817%","4"
"0x528d50b58d49acc8116fc1f964f7b191cc96ec95","","658.12094265 ETH","0.00054804%","19"
"0x44a634cbc18a66d90a78a336c0436272acecac0a","","658.0957209 ETH","0.00054802%","38"
"0x322df8fd261820c36234f806b15f51a2203a8f88","","658.07681095 ETH","0.00054801%","8"
"0x459e49442140631487b6c8d1cbc26739650d9325","","658.06666407 ETH","0.00054800%","4"
"0x39a329324f7f6e204d50b932765b2380f2991584","","657.93124019 ETH","0.00054788%","1"
"0xbef01f4233d2e03eee1de8133777241159f3c706","","657.83063106 ETH","0.00054780%","32"
"0xc27e327590366f5669681c892dae3710c8405827","","657.61081213 ETH","0.00054762%","2"
"0x06e6e3e70238750cad671ae6d3bce2afa1990431","","657.59257555 ETH","0.00054760%","5"
"0x3dabf5e36df28f6064a7c5638d0c4e01539e35f1","Orion Protocol Exploiter","657.55252995 ETH","0.00054757%","34"
"0xdf35649b242143da31ae66a357a92c03a1ef234e","","657.37199083 ETH","0.00054742%","4"
"0xa749dde4b981714e973661a8813c60636449ee4f","","657.36472 ETH","0.00054741%","15"
"0x283cae2444d4fda7bd11b730e6e9666d4363c84e","","657.17335712 ETH","0.00054725%","19"
"0x80d86481e08864e1433c6f700aa85b2041a8f690","","657.07563201 ETH","0.00054717%","45"
