Address,Name Tag,Balance,Percentage,Txn Count
"0x88f9bf241cbca29bc09826419af3a0a1d2fc6db1","","1,189.99589372 ETH","0.00099095%","10"
"0xdd783b5f215584096eb7ca66a00a5b357fef55f8","","1,189.79403633 ETH","0.00099079%","17"
"0x737901bea3eeb88459df9ef1be8ff3ae1b42a2ba","Aztec: Private Rollup Bridge","1,189.7824522 ETH","0.00099078%","95,084"
"0xdb73875fb771b95d6fecf967c00e00862c133f32","","1,189.00592359 ETH","0.00099013%","51"
"0x18eff77a491b037a2f474dff9e6dd528a6519834","","1,188.736598 ETH","0.00098991%","9"
"0xb1338c7e2b037ab93fa9ff49123b7fd3bf9375df","","1,188.6774357 ETH","0.00098986%","2"
"0x620085b4100ec1cc540462ac82352f60edf3a952","","1,188.349031 ETH","0.00098958%","5"
"0x19c103cfa4dc3615040e4c54a58dc2ffbf541784","","1,187.56759728 ETH","0.00098893%","15"
"0xbe3d7b625315ab5271581f389756d44d0b340ee6","","1,187.31165308 ETH","0.00098872%","71"
"0x0dda86e32fd9eeb5f69314dd8b1d75e813c3cf08","","1,185.91190212 ETH","0.00098755%","44"
"0x13199f53d234f9b9a12fcc6b2bd242b31e34062f","","1,184.96877456 ETH","0.00098677%","16"
"0x263a10d02ac06ce798efdb9a599d273744766688","","1,184.71209955 ETH","0.00098655%","29"
"0x2082aefd86e22ebe2251cbd980203afe35657d40","","1,184.09249802 ETH","0.00098604%","18"
"0x00fecf32ddd745b341d1bd66b02e71494fcc9874","","1,184.05341962 ETH","0.00098601%","4"
"0xacb88cc1402b4c253bf3110c2310143ff9f42d93","","1,183.97605243 ETH","0.00098594%","18"
"0xa9e89f3e44f368e4ce82bc5afcdf9acf19216249","","1,183.66165246 ETH","0.00098568%","26"
"0x04c3a22c258a1541af49b8e3bfd731396d073142","","1,182.997 ETH","0.00098513%","1"
"0x98129c60136a6f2b1d38d6dc0c3fc23049086045","","1,182.81435982 ETH","0.00098497%","7,004"
"0x7539333046deb1ef3c4daf50619993f444e1de68","","1,182 ETH","0.00098430%","1"
"0x6de02f2dd67efdb7393402fa9eaacbcf589d2e56","","1,182 ETH","0.00098430%","1"
"0x95a9bd206ae52c4ba8eecfc93d18eacdd41c88cc","Coinbase 13","1,181.35740371 ETH","0.00098376%","1,987,891"
"0xba953548c0b7e63ce207e390611bcde519f606ec","","1,180.70490896 ETH","0.00098322%","4"
"0x77ca467e20468c03f515aae605812ca6a2e40056","","1,180.088782 ETH","0.00098270%","4"
"0x50e47fa31d8ba33b790a27fc17de6ee3297ba459","","1,180.06580688 ETH","0.00098269%","27"
"0xd4ab047a3d816196195e311b6dadcfa52f89abf0","","1,180.06161696 ETH","0.00098268%","13"
"0x6ef515d5146e77f3b276b1f5eb5f0ce879de34c2","","1,179.96806872 ETH","0.00098260%","17"
"0xa586ff6b9ef9ec7da7c0129e2a06467505ffb426","","1,179.57681636 ETH","0.00098228%","3"
"0x72954451e382984afaccdf8b50268e91ba049688","","1,179.11700347 ETH","0.00098190%","6"
"0x8092d1244f1d463adece4ae14cf5c96c7e0e64da","","1,178.79502325 ETH","0.00098163%","3"
"0xb8ba36e591facee901ffd3d5d82df491551ad7ef","","1,178.3847389 ETH","0.00098129%","347,067"
"0x21448cd33f233dbbeb1287bc928d2cf158dac522","","1,177.66356908 ETH","0.00098068%","97"
"0x2a242eb5ea8b5332948d56099aaca7cb824ea0a6","","1,177.42647394 ETH","0.00098049%","59"
"0x1da69c77281be0f69049d9d11017ab80aaf3947c","","1,177.20942 ETH","0.00098031%","1"
"0xc3f494fa25297ce7ab62ff48c099a9cb405e5552","","1,176.62008487 ETH","0.00097982%","2"
"0xd7dfc49e5d13f77830029134fb06f5fa6d5e8ec4","","1,176.44116459 ETH","0.00097967%","292"
"0x8cded8f07fbf9bea7732c3375a3c0eaaf010faaa","","1,176.22517054 ETH","0.00097949%","7"
"0x25bd2d99dc3cc991dd3481886f654455604db07b","","1,176 ETH","0.00097930%","1"
"0x3c0ca512e8f532d14b4c2f079f877246aba9c6cd","","1,175.98914441 ETH","0.00097929%","43"
"0x806ac04d9f191352adbd3028eb7961f1c334e81e","","1,175.23889502 ETH","0.00097867%","2"
"0x1d32777271f50c0f1fc31f893e2f9eebe9350112","","1,175.02533508 ETH","0.00097849%","14"
"0x5a05aceafc83a54a4ffe5f3bb43ba0d0f29e3cb8","","1,174.99875579 ETH","0.00097847%","3"
"0xd9ff59b9304347b38ae605ded82f94a59b8757b1","","1,174.95499938 ETH","0.00097843%","13"
"0xd471b9423954019c4fe5ece8831324c0fb59f7fd","","1,173.72641841 ETH","0.00097741%","5"
"0xa5ef1bb0ffeb8af1f6852be2ac0cc0bf9d92df7e","","1,173.12142958 ETH","0.00097690%","6"
"0x4eb5fbbe7a5cdf3fbbca2d62ab3fb047b055384b","","1,172.48697778 ETH","0.00097637%","1"
"0x4d36fcc762f773dcc53f072f0b4c3f693bb8a7ce","","1,172.33067116 ETH","0.00097624%","680"
"0xea53cb9bfc2524a794ca188d01038ebbcf86eba8","","1,170.56 ETH","0.00097477%","3"
"0xb269d5ba360e22e7a815c96ef723277cdd7c7ecf","","1,170.54599878 ETH","0.00097476%","5"
"0x6f923fea5066bae794224a22fa1c1f6ee95aae5b","","1,170 ETH","0.00097430%","2"
"0xfea060bb3407615e6db665c6f987ba8b9ead95bc","","1,169.99900684 ETH","0.00097430%","14"
"0x51b213cec2ff91a98fd329c2f91e03865412ecf4","","1,169.99 ETH","0.00097429%","1"
"0xd0348db3413e105d0eb73011d4dc83a814254e43","","1,169.1 ETH","0.00097355%","9"
"0x27b79bd7fe0cc7a198858070707b3ac175d6da44","","1,168.56345207 ETH","0.00097311%","75"
"0x40e0b81b03b65b540a4daecccf80278d7ac7f28b","","1,167.80565073 ETH","0.00097248%","25"
"0x449fd77800f9fd4f76cd11d6fc34592055eba933","","1,167.32930195 ETH","0.00097208%","51"
"0x9f3d09eb978745f6e269d899dedfc5282b13a8e5","","1,166.95338785 ETH","0.00097177%","17"
"0x181a7f8b0390056e7aa182cb428ff1cab4126575","","1,166.41759625 ETH","0.00097132%","25"
"0x63910ae4fd3d5ad87acec6990989543b191ec95f","","1,166.31260021 ETH","0.00097123%","16"
"0x38169c48ba4c989577bd396876ae806cfd74cb14","","1,166.1771779 ETH","0.00097112%","19"
"0xee5f5c53ce2159fc6dd4b0571e86a4a390d04846","","1,165.53703868 ETH","0.00097059%","6,627"
"0x23d7c58b5a8e1149b38d2309b0c84b86a27df8af","","1,165.41216707 ETH","0.00097048%","43"
"0xf02e86d9e0efd57ad034faf52201b79917fe0713","","1,164.93186876 ETH","0.00097008%","1,459"
"0x9fb538820d4fde2fcc509dc01ae73a192f36cfcc","","1,163.95883881 ETH","0.00096927%","19,271"
"0x02470045bac21a0d8244fb3fff6aae5de97a3b75","","1,163.797 ETH","0.00096914%","1"
"0x7b92c357ac3f869b491adacf249684c0743f064a","","1,162.64958735 ETH","0.00096818%","6"
"0x26d70cac507943a1833c4f81a6c5813f82e691fa","","1,162.64 ETH","0.00096817%","2"
"0x4a2855d5a3d5ba72fea778fa686bc9d68b97aa70","","1,162.62387506 ETH","0.00096816%","17"
"0xc60fb2915ed44216589d91e229249a51ea5669a0","","1,162.50880779 ETH","0.00096806%","150"
"0xf0175ef0b15c40c9f4736404892817e5749c4d3e","","1,161.86388371 ETH","0.00096753%","9"
"0xbaeedcccbfb112d4a921daa635ac2276307a1705","","1,161.60035506 ETH","0.00096731%","50"
"0xb8e58b7446095f0cc5682863095e9e5ad4c0f340","","1,160.882901 ETH","0.00096671%","12"
"0x916374a455ddb30873f7e2d04cbd1611b0f9f0ff","","1,160.67347859 ETH","0.00096654%","40"
"0x093ea42ec080c4c4276883c5636bacffa42daec2","","1,160.45373656 ETH","0.00096635%","70"
"0x86e8fd8fb0f3c29920106d9eb85a185c30d3646c","","1,160.27297625 ETH","0.00096620%","30"
"0xfa545ef83e1402f077c86e21dfff5d1be59ae6cb","","1,160.0008764 ETH","0.00096598%","13"
