Address,Name Tag,Balance,Percentage,Txn Count
"0x55f4ed4d481612ebfddcb0fb450a6d8c2b2588fa","","768.73922989 ETH","0.00064016%","19"
"0x28dd742ce3730c576fe62bfc8bdfc4a07078f51e","","768.58427411 ETH","0.00064003%","13"
"0x771cd34761b3287d3d64a7305bea982db2823734","","768.38482064 ETH","0.00063986%","19"
"0x2f1f7fc76e6cf5ab3e186a2a2fd4fc31952a77cc","YouHodler 1","768.2972555 ETH","0.00063979%","22,178"
"0x019dc80ee1b70b8999da62a757efc9e5fbb24d8d","","768.21403543 ETH","0.00063972%","40"
"0x23536e591fe2df651ef80427dcc016bf83bdfc36","","768.19787663 ETH","0.00063971%","9"
"0x37ff82e71de7837c63ffd920ce70403d909b5218","","768.03300488 ETH","0.00063957%","2"
"0xe1ad30971b83c17e2a24c0334cb45f808abebc87","","767.99637577 ETH","0.00063954%","1,274"
"0x6286586162c3ac7438e2d35e564bc603fc591245","","767.97770245 ETH","0.00063952%","8"
"0x7607b564d3cd06b4136e9cb79c12ba848cc873ce","","767.85112809 ETH","0.00063942%","187"
"0x466b31f468b48558e0eeafc0dca5aeec04ce6b6a","","767.82500538 ETH","0.00063940%","19"
"0x444023cc78602fe6f0d479aefcb18dddb6a5f37c","","767.79844513 ETH","0.00063937%","5"
"0x474cc73df6dcb6924e0017c5dfff5e289e85c4bd","","767.53573796 ETH","0.00063916%","26"
"0x7e5206946cdcb224821877eb93175ba8f59ea07e","","767.35530581 ETH","0.00063901%","212"
"0x12ca62b13e083949c98fd857e9d8d6c6917d15bb","","766.9882549 ETH","0.00063870%","9"
"0x077c59513809a9e415ab81ec38c526f08de0ba8c","","766.83545842 ETH","0.00063857%","27"
"0xa5e9cd4b74255d22b7d9b27ae8dd43ed6ed0252b","","766.527 ETH","0.00063832%","1"
"0x19ef82a395584521af33e3442dab7f3bb3bee8be","","766.35311303 ETH","0.00063817%","9"
"0xb76761fbe4b6adbb4ea1c5b155648385e1ca11bc","","766.16713976 ETH","0.00063802%","35"
"0x94902498e6a92327c17479c48cb3673c2de9380f","","765.69102657 ETH","0.00063762%","20,121"
"0x3689886c8f06c8180c1088961a5e86f841919554","","765.494015 ETH","0.00063746%","10"
"0x35ec080da7839b4298b83a09d3129e8bb728f136","","765.35617734 ETH","0.00063734%","47"
"0x378bcce7235d53bbc3774bff8559191f06e6818e","","765.30512565 ETH","0.00063730%","1,481"
"0xc4246f924c88739ffbbf50a81c1fdfbef820f3cc","","765.15240649 ETH","0.00063717%","11"
"0xc04393dd8593e412eaa7a423bbfffeffb86e7dc6","","764.89306474 ETH","0.00063696%","115"
"0x6497e3acc754b93b250dd1dea91c839814c889c7","","764.4571653 ETH","0.00063659%","10"
"0xb9b4a35d8a9fab9b00b9a52e44db73fb9bbbfc6e","","764.00231857 ETH","0.00063621%","23"
"0x01087f4e1dbc0c52690a9397677dd90983711c37","","763.54264314 ETH","0.00063583%","25,072"
"0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e","SharedStake: Deployer 1","763.27806151 ETH","0.00063561%","3,066"
"0x6de8b648043cb191c061c5cc2829c9966880e2de","","763.23283355 ETH","0.00063557%","27"
"0x91cb8b48c6e5234d8daa66f697e4555dbbb270df","","763.20125484 ETH","0.00063555%","11"
"0xff4a1db7e156a1d73a7ad5f17fb5b470ec8baf9e","","763.05724055 ETH","0.00063543%","42"
"0x71ef8bd188c2903c3ebbb843305cc11dd5f22783","","762.76406368 ETH","0.00063518%","136"
"0x6e6d33f650b403f05e8ae819f4e384172810b757","","762.54888548 ETH","0.00063500%","2,723"
"0x31e9b3373f2ad5d964cad0fd01332d6550cbbde6","","762.40919786 ETH","0.00063489%","76,002"
"0x24181ea9407c355870a013a32367f8de01ab87ce","","762.32789555 ETH","0.00063482%","2"
"0x8bee7340304a051b16cecee05fb8c999db3b65ed","","761.78142767 ETH","0.00063436%","5,289"
"0x2f0bcd2268f6d5319beeae8be6b80c81a0d6ab67","","761.64 ETH","0.00063425%","4"
"0x67428b08374c59bfb515f24095d28c3f9928f12a","","761.63714965 ETH","0.00063424%","11"
"0x867214c1ad9caa504a05ae7f708cf02b69b4ebb5","","761.52990679 ETH","0.00063415%","22"
"0x9136549b347533962cc8f237727886c026638043","","761.34219802 ETH","0.00063400%","4"
"0x4e17a435f1d8c5c5cc3176d163110f496af18de6","","761.0724739 ETH","0.00063377%","49"
"0x5fe977a548d43e18d20af326749f3c3b36077b38","","760.93827177 ETH","0.00063366%","42"
"0x9e14e0c458cfdbfa3d78eb662ba828f515f4cb52","","760.70024108 ETH","0.00063346%","77"
"0x395c927fbca19be966d2d8297faa56d0f64925d6","","760.36692255 ETH","0.00063319%","21"
"0x68c936f2a0eded3c28293af9bedd2e01d4a4c95c","","760.10591134 ETH","0.00063297%","5"
"0x9a1dc6d1c720f14feacf35869a8b9c6c2da55143","","760.09114081 ETH","0.00063296%","16"
"0x66bb42d9096a5eb0140a2e5f18db86b56a250b21","","760.09080994 ETH","0.00063296%","7"
"0xe6797ddbf063d48ed42d6046b82a817fd0050f6d","","760.0842878 ETH","0.00063295%","7"
"0x777dd061b3f9865a3ad9875efca52e3906370e2d","","759.9987715 ETH","0.00063288%","3"
"0x23e8a0a19ba39e1d101d18d418aadcf547d0db32","","759.96670321 ETH","0.00063285%","4"
"0x657b956303113d2c0f23fc57965424bd429c199d","","759.93893007 ETH","0.00063283%","34"
"0xac5e6383670fc9df544e9a16eeb854d2e0b8fc39","","759.91446548 ETH","0.00063281%","43"
"0x56ff6abc408a490e062c6d88f4b89378cb00a1ab","","759.87324156 ETH","0.00063278%","31"
"0x3df36ad916ff5065120030de231d59a87ef62c40","","759.8304432 ETH","0.00063274%","7"
"0x629c3d1b78869a6979e74099303e8daca4116844","","759.8 ETH","0.00063271%","3"
"0x2f64838188fe84406b2461ddcebaa3152b91ecd9","","759.53728894 ETH","0.00063250%","10"
"0x864b06003c7dbd1cf2a3cb13a358640b432f68f4","","759.14613 ETH","0.00063217%","24"
"0x809ea8159dce5ea0cfd6a028b4f42f1302c7cd05","","758.994625 ETH","0.00063204%","8"
"0x5a3afa3320b0bf9360da6c3f0aa07d8b7546abab","","758.9190641 ETH","0.00063198%","1"
"0x7bfb1dbf89f175353f9ab2cf1d6309d822bab3c1","","758.6190984 ETH","0.00063173%","1"
"0xb5a476a5967faf387bbbcd22754f0a2cd83b59a5","","758.59096512 ETH","0.00063171%","237"
"0x00051025f6968cb60967ddfcfb1663ef6df9789e","","758.50849423 ETH","0.00063164%","217"
"0xbc8e9014c8f4fa46e9554089066e28ac069630fd","","758.378635 ETH","0.00063153%","13"
"0x7b74c19124a9ca92c6141a2ed5f92130fc2791f2","","758.27857536 ETH","0.00063145%","62,865"
"0x2a45907f94df93388801ae72fe810eac75926a1d","","758.14617477 ETH","0.00063134%","31,338"
"0xd6392549aba4a5d5443f14467c03d33d618f48eb","","757.76537 ETH","0.00063102%","3"
"0x35f19dcf3e6797490ab8a9283226fd7c66cd3c8d","","757.576758 ETH","0.00063086%","2"
"0x8a3d131dc3c9fcfc83c35ab7265cbbd23b343a8b","","757.52633115 ETH","0.00063082%","1"
"0xc29dd75fea0d364895d555fefcf9caa82b625b44","","756.8806065 ETH","0.00063028%","44"
"0xca70b8d3ffadb652bff32147780c081e5bcb7f6c","","756.82585998 ETH","0.00063024%","80"
"0xb1958c584450ba8c51ad91e75774dad33237cb0e","","756.7 ETH","0.00063013%","3"
"0xa6347afc86abf77bb4c79ef56deb7cf2892566f3","","756.45546463 ETH","0.00062993%","58"
"0x7c17a44b0ac7f767993948c095e9f30612abe6a8","","756.4298332 ETH","0.00062991%","2"
"0xe812b914c65bae8ef04e8c139e90083d8cdbee5f","","756.41621996 ETH","0.00062990%","8"
"0x3f4a8b184348be09724c15d6932a74df3514001d","","756.3951964 ETH","0.00062988%","4"
"0x2e619f57abc1e987aa936ae3a2264962e7eb2d9a","","756 ETH","0.00062955%","1"
"0x7a1d24a16632ea38fb775b738c92d67533d107d4","","755.88440449 ETH","0.00062945%","9"
"0x682416d49aa72dd4245ab7be39c5a34d6865e357","","755.74752211 ETH","0.00062934%","9"
"0x2f637316b5c3451241ab12399d72e917da323bdd","","755.7 ETH","0.00062930%","2"
"0x8a7f8cbe7f11887aed5453dd9391ebef6266d9e9","","755.55205665 ETH","0.00062918%","200"
"0xb62c10db2f94b9111303e5ee1ac94407a84ae374","","755.52561685 ETH","0.00062915%","142"
"0xadfd59ba0c9ce3bebbfcc5afc7b6d872ee71188a","","755.24210146 ETH","0.00062892%","33"
"0xac126fbc9accfa441f03caca85b87e60612474ce","","755.03658807 ETH","0.00062875%","9"
"0xf66d44fb12ac0563c6e8132fbde82a684a29f5a1","","754.99924381 ETH","0.00062872%","19"
"0x6432daf3d3534a864710d2cd0b99eae3e16dd587","","754.72538653 ETH","0.00062849%","18"
"0x7d17b46ed3024a8f6a412a7061c1e9e383581f57","","754.641192 ETH","0.00062842%","13"
"0x91ec4863496bad7e56ec74e55d4a169d09c772f5","","754.640202 ETH","0.00062842%","15"
"0x1ff86047d1e254938ec3129e8c891ed0b869cfdc","","754.17560713 ETH","0.00062803%","166"
"0x893e2828980f135ba16afa08fe3d2842d41291ff","","754 ETH","0.00062788%","3"
"0xa1230bbaa1110bb8fe5613508f010f7f9cfb8256","","753.94615573 ETH","0.00062784%","12"
"0x01eb3d7559c2aa19a6b55dfb48508093ee4715d4","","753.88729747 ETH","0.00062779%","25"
"0x80bd466b6184aa86943a53abecbd996af1e9b9fd","","753.82989276 ETH","0.00062774%","6"
"0xe583133d765af16ef8e06dba69c39d57d00b9104","","753.82597261 ETH","0.00062774%","67"
"0xc228c26e66f6078b5596347e8fdae1b9fd604a05","","753.61683618 ETH","0.00062757%","53"
"0x5e1fcc45755dc7434f667ef8cb0ab67233632f07","","753.458993 ETH","0.00062743%","9"
"0x31da06ae5357b37d68f106c7ef58d575b06594fa","","753.42374388 ETH","0.00062740%","519"
"0x7848e44eb44fed2a9027a92ebd6dddd81150a7aa","","753.3111 ETH","0.00062731%","2"
"0xe3c255ffc3aa4fb9a93abfd881b8ca19e9bf7e3a","","753.07275716 ETH","0.00062711%","26"
"0xe5a04d98538231b0fab9aba60cd73ce4ff3039df","EtherFlip","753.01267983 ETH","0.00062706%","74,118"
