Address,Name Tag,Balance,Percentage,Txn Count
"0x5193693e2258234adb1306679125eba11bbd07ee","","1,003.30757686 ETH","0.00083549%","7"
"0x7a4a7018693874fa36475326670d4925ebca09b4","","1,003.24482671 ETH","0.00083544%","58"
"0x6eccd9a8d939841c79c63c80e46f5b33b40fe8c5","","1,003.13305416 ETH","0.00083535%","14"
"0x7f8f161d114e2bd47c9ab8e474047c9b05a2cdac","","1,003.0783437 ETH","0.00083530%","12"
"0x3b7a0869d228ad5c154b922cd7a7cb1c46fe6ed4","","1,003.06245798 ETH","0.00083529%","703"
"0x8b94ebef25e5ee66962b25d055ae5201260c82e8","","1,003.0565 ETH","0.00083528%","3"
"0xb757ced086b91d44953514a64aa475138549bc7d","","1,003 ETH","0.00083524%","1"
"0x73ded263287e68b4af1c91bd58185f01e5062d31","","1,002.99432358 ETH","0.00083523%","3"
"0xb57c2edf090d937a22bcdd3d28e956618c604978","","1,002.9872721 ETH","0.00083523%","20"
"0x9b73de83d2d63f9d509a7e676aec9f18d219f28f","","1,002.940018 ETH","0.00083519%","26"
"0x2ef80034edd464e0abf0ed86d55d54537d7f8a5a","","1,002.78953138 ETH","0.00083506%","4"
"0xba348616c98bb7705ac972f247c8f592547d02a4","","1,002.597933 ETH","0.00083490%","8"
"0x5dca4fc6c6b7fad9e29614be248c04b209f90aa2","","1,002.49051466 ETH","0.00083481%","993"
"0x1c46f36f1ab1dd7c7dd43be3f3b88e10dd92b244","","1,002.4 ETH","0.00083474%","0"
"0x115a9c6fd9d4951db1c89a63e17d3159c4e0c4c7","","1,002.29977131 ETH","0.00083465%","4"
"0x55423da56319ddd796dcd6deb9eb8e885c9241f6","","1,002.29455 ETH","0.00083465%","8"
"0x3d850dd2ce37f6c930ff8d0074ace3d63dca246d","","1,002.24763696 ETH","0.00083461%","250"
"0x69aa5c10f066bcd42dbd22eaec25bbafb75a8a66","","1,002.18842 ETH","0.00083456%","1"
"0x61b872c557c6d23130ee3fb457998eebca5109af","","1,002.13664537 ETH","0.00083452%","633"
"0x5f67a690ba13d0d300360b62cafd4d5b94900d06","","1,002.02100514 ETH","0.00083442%","36"
"0x3f32b75016bf6d086083da0c10e5119783f27327","","1,002 ETH","0.00083440%","3"
"0x84c4f6c4e1d98cc54692933d278d1613bc4883bb","","1,002 ETH","0.00083440%","3"
"0x0b7ecc8fd19a49d002efee221d7b67ae4ca77269","","1,001.98275084 ETH","0.00083439%","15"
"0x60e0cf4bb4c5cd8e7a03e5b886d7c4681eb975d8","","1,001.97173201 ETH","0.00083438%","61"
"0xa4c56c119b2828ddf0e9f7cc7373485546f98887","","1,001.95111091 ETH","0.00083436%","19"
"0x00e4c4b10aa4ed8c1810c85c6efff3d9a64f4dfb","","1,001.76394528 ETH","0.00083421%","26"
"0xb1b9ff9059911b642ff93b8159cf0bfaa4f85c07","","1,001.69485 ETH","0.00083415%","8"
"0x108cdf53b82c16a508eb93137946ff304b7feead","","1,001.69443143 ETH","0.00083415%","5"
"0x0a34b447d8a19693ffb41b083f86b09dd90109d8","","1,001.6759143 ETH","0.00083413%","77"
"0xf25849a450881eb9029208dd9ae2c2191d6f2c03","","1,001.62929517 ETH","0.00083409%","16"
"0x3e24937959783bdf976597e1095ec7c272084065","","1,001.57020344 ETH","0.00083405%","84"
"0x9844bda64b7e767feb26034506ad3c0d8e0fb2c4","","1,001.55678314 ETH","0.00083403%","5"
"0x7ccbac6d333838608be0c40e124381016f4c81fc","","1,001.51713827 ETH","0.00083400%","5,866"
"0x13e39d261ebcd3bdcdd71e5bef3b0ce968617f1c","","1,001.51281883 ETH","0.00083400%","10"
"0xc0b9abc2069ac65a241f61c245d9712682697334","","1,001.488698 ETH","0.00083398%","3"
"0x1111567e0954e74f6ba7c4732d534e75b81dc42e","","1,001.47785501 ETH","0.00083397%","2,258"
"0xa23d3e1b9bf82ead0c8abaf8cd5f1111e8a24d2c","","1,001.46338542 ETH","0.00083396%","6"
"0xeda3533eda40f3a8b71f1a719053ad522e73e791","","1,001.39697329 ETH","0.00083390%","83"
"0xef8622add7f4f601e3149e1e669f3ae3affc5971","","1,001.2685545 ETH","0.00083379%","115"
"0x0d3976283fee75390b1897312ef2ce4e47f8536a","","1,001.22248534 ETH","0.00083376%","11"
"0xaefac73a5109c17f5c8ce3fefa58df605561fdcb","","1,001.16755644 ETH","0.00083371%","2"
"0xea0481f5432ce36ccf0367ff31d141c693e9cf0b","","1,001.0987 ETH","0.00083365%","3"
"0x9b088284a9f2bb1ad19cc86a34475e91e01567d5","","1,001.0986275 ETH","0.00083365%","6"
"0x1317fd2ca127f5fd44fa88efb9a3e92dfa8f32b9","","1,001.09814177 ETH","0.00083365%","22"
"0x1bfe6e2e7c4474800d409f18a6881ff3db53b8d3","","1,001.096997 ETH","0.00083365%","6"
"0x005c575353dc8819f05e272c27e2e842f9afa24c","","1,001.05817865 ETH","0.00083362%","14"
"0x08e23e780bd8a78a4fdb299163455e198141a5f3","","1,001.05706174 ETH","0.00083362%","3"
"0x40d908ce26e66d5724f34f12ce27e3c872e501fe","","1,001.04966022 ETH","0.00083361%","5"
"0x44da4292d6c0f5448345f1b79666d507d884126f","","1,001.02624506 ETH","0.00083359%","3"
"0xe9ab27717e6db261a7418650ff8906981387d9e7","","1,001.008816 ETH","0.00083358%","3"
"0x300e67aeac0e2294944909869ac9538fe8a0ad9b","","1,001 ETH","0.00083357%","2"
"0xb6fc7017e16c714e89b4a04803714c530f7b2588","","1,001 ETH","0.00083357%","1"
"0x8d31aa661b9395c0a76b7ba8b77c90d600196c96","","1,001 ETH","0.00083357%","2"
"0x85b5455530895bde0e3d62abbf795b2803c90206","","1,001 ETH","0.00083357%","1"
"0xe6314663348444c5e63696938eafbc44bb31e375","","1,001 ETH","0.00083357%","2"
"0x1ed2a809e2d6bccf0147ddad83066758f36a6e7e","","1,000.99861802 ETH","0.00083357%","1"
"0x6ffa7ea19a94bf4cc008a3a4ce186cfebd24b48d","","1,000.99499989 ETH","0.00083357%","8"
"0x67aa87775acfcc8b68dc7a1fa2b9d5209bdb8938","","1,000.994551 ETH","0.00083357%","1"
"0xe080e766393ab9d39f94b8647ff4a3e46cdfd83d","","1,000.99411642 ETH","0.00083357%","5"
"0x6a74ad19844a3f1e544fab52428c91aa072fdece","","1,000.99210631 ETH","0.00083356%","59"
"0x67da3e243d4997c3af9e0772967f9488953f6e83","","1,000.9910353 ETH","0.00083356%","1"
"0x3e0cbe6a6dcb61f110c45ba2aa361d7fcad3da73","","1,000.98869979 ETH","0.00083356%","26"
"0x7923996607d19886d8cee1629d093e52c109266c","","1,000.98027769 ETH","0.00083355%","36"
"0x5023b5aa1a9c769caea36f569172e6ba8b637299","","1,000.97865258 ETH","0.00083355%","13"
"0x2e2dd1e9ab92fa671aeae1fdcba253416067abe2","","1,000.96054227 ETH","0.00083354%","35"
"0x527974463c1cee6dd90c3da334dbc13c195b15bc","","1,000.95994813 ETH","0.00083354%","9"
"0x8bc7fe0e631064483dd01aab80431cc12ab1dbf8","","1,000.94471951 ETH","0.00083352%","55"
"0x7f4b5e278578c046cceaf65730a0e068329ed5b6","","1,000.92403796 ETH","0.00083351%","4"
"0xe1f4786b2c820df79d6dc066a50d8c0045295faa","","1,000.90610062 ETH","0.00083349%","6"
"0x11ca28d1b0c32bd114f683a911fa8f80ced1d30e","","1,000.899559 ETH","0.00083349%","3"
"0x0353306f6be475321a1bbaa410762c40caf3fb28","","1,000.89955139 ETH","0.00083349%","23"
"0x717b6b0e7da730114e31217ade198f885fce72a8","","1,000.89 ETH","0.00083348%","4"
"0x7eb6e2dda3e31567d53c4e90b23c9c593a02302a","","1,000.88349067 ETH","0.00083347%","1"
"0x1ae2611aad3aa5ed7e5bc3a6000dd59c3bcc4f45","","1,000.87181045 ETH","0.00083346%","11"
"0xaa14422d6f0ae5a758194ed15780c838d67f1ee1","","1,000.811274 ETH","0.00083341%","18"
"0x2466253b5ce786f105bc0b2d7a9a6d088afb0002","","1,000.79865358 ETH","0.00083340%","5"
"0x64a9f91160c8fe3265e8ce4d5807d5780c323dbf","","1,000.74335021 ETH","0.00083336%","15"
"0x90565c95c27e79767a8c41009930331f2e416cd6","","1,000.69773779 ETH","0.00083332%","29"
"0x5fd798cc560fec3aa8799bbf2d76d2052d444d93","","1,000.69615657 ETH","0.00083332%","5"
"0x4f4d17ed20472812f8d7343ab1b48f4d2ad58e96","","1,000.66668012 ETH","0.00083329%","15"
"0x59d5a914ec6028b2d47e2a3263e797e3c9f0c410","","1,000.62652164 ETH","0.00083326%","37"
"0xfa5646558a0ab3f69af7314055ffcd9f602c8504","","1,000.62399905 ETH","0.00083326%","155"
"0x0a07bc278985411d50d1b21296a560ad67af3bbb","","1,000.59361444 ETH","0.00083323%","12"
"0x29aea5f51879982fdb53fb4f0720823ed77e49dc","","1,000.56368274 ETH","0.00083321%","16"
"0x0a8eb1b294e2ce00af4b6411ef48ee1311f0246a","","1,000.56288418 ETH","0.00083321%","1"
"0x30859bdd344d4c5caad40435320ce7f26fd671aa","","1,000.55390039 ETH","0.00083320%","4"
"0xfe513e954370d48033450197a93f6740b3187f9e","","1,000.54379601 ETH","0.00083319%","142"
"0x4d0bfcd85e02ff853b14075c88f35de46dabf871","","1,000.52984258 ETH","0.00083318%","1"
"0xf908ceea9d4c45eedaa905d27dd0ef2a05c55fa2","","1,000.50604444 ETH","0.00083316%","2"
