Address,Name Tag,Balance,Percentage,Txn Count
"0xea7368e090ca1f51c4b442616c41137950554aaf","","698.22019219 ETH","0.00058143%","2"
"0xc99fc544f2ca60cf8d6c25112acc6d8ca4685ddb","","697.90309477 ETH","0.00058117%","4"
"0xb63a64a55d0ae414ea63c4f62d23bfd4fea40f48","","697.87815522 ETH","0.00058115%","16"
"0x7c4ca4405041200f34e2f211cdf276948e3360c8","","697.85673957 ETH","0.00058113%","7"
"0x3a317fb6ccbb039f72bf967cb1bb4eff480b317b","","697.80085452 ETH","0.00058109%","203"
"0x30ccc2d6ecef5ffdf6932296a5ac6ac133bd8a90","","697.66587823 ETH","0.00058097%","31"
"0xc01a95aa4d897b5e6452a5823f30447cb09c57ea","","697.44711167 ETH","0.00058079%","4"
"0x71135afebc73f9534cd90b2a72d5b7d742bfdf3a","","697.30356208 ETH","0.00058067%","16"
"0x611bb726bec781378459b905653eb1dfcb3585e2","","696.67896046 ETH","0.00058015%","23"
"0x5e28ac4bf66a2f1a82decd25b3d0651486f3e0ea","","696.61513689 ETH","0.00058010%","10"
"0x29cbd90d67c170843dfbd0424514cb24dd324ef6","","696.42743283 ETH","0.00057994%","433"
"0xb09ca05f9645af0a5c6766d7a99c77a4eef3e17b","","696.21126574 ETH","0.00057976%","48"
"0x76d0e741cc1a111905d6ed500e456ffa1611da7c","","696.028378 ETH","0.00057961%","5"
"0xbe3409de3cc385e4e9565db437ce6a030a34957a","","696.02618638 ETH","0.00057961%","6"
"0xdc059f3c00d214f11bbca1257692474b40dd47cb","","695.74591663 ETH","0.00057937%","124"
"0xcbde5b2d234a2b45b95866c3bcdc7cf5d70d78f8","","695.66458631 ETH","0.00057931%","88"
"0x22c145522890aa3fdfae1df82b636a37b0946648","","695.52800789 ETH","0.00057919%","67"
"0x5bd6cfd7cd25074ba2e3d368d298eb744c861832","","695.3458906 ETH","0.00057904%","16"
"0x2341e2711768de9f963e06352a68fca9d48b136b","","695.2815904 ETH","0.00057899%","1"
"0x950a9cfc770cd51627a32ab7eed3e78e5deb61c4","","695.2746368 ETH","0.00057898%","1"
"0x83dc3cb74fb3fcbce323d74fc0622bed8de00091","","695.26399164 ETH","0.00057897%","104"
"0x41b7183d3414469fc384215ba5da544fa2617cc5","","695.17482161 ETH","0.00057890%","20"
"0xfd406b9fe9891e6dc38065adf646c14af5e3820f","","695.12031876 ETH","0.00057885%","12"
"0x6646ebd1a61f417410effe187e4ad1d6625e6c52","","694.91072884 ETH","0.00057868%","79"
"0x0f60ba2ee50422786c17c8a6b4ff57c307eba99c","","694.8936336 ETH","0.00057866%","16"
"0x7aa6b110b1dd498610a78811201e0fd48a07e1b4","","694.69346738 ETH","0.00057850%","4"
"0x56a58b2686a36976fcebe1f17bf950d38f74f17e","","694.42331877 ETH","0.00057827%","4"
"0xd77ae2110f7969783d24893a458b71632889e0ca","","694.09674546 ETH","0.00057800%","8"
"0xde4ffb0c2afea9d15b5c0da353b1905a0ad021b3","","693.98 ETH","0.00057790%","1"
"0x48c17cc0f155338132b3557d960e5b6aae4fea5e","","693.97583132 ETH","0.00057790%","13"
"0xa226e04c4f157587cb3e5735f3cfcdf44355fbff","","693.91031124 ETH","0.00057785%","6"
"0xa1780c60a6f58c81f091323ecc18ab29f07a0ffa","","693.90568663 ETH","0.00057784%","20"
"0x650e19d880276be700f10e6b11f855f8a5bec03f","","693.823692 ETH","0.00057777%","2"
"0xf2d7cb0b81c78ea78fdf74a5a2feee5b222a156b","","693.35629082 ETH","0.00057738%","59"
"0x9f54cc76f78c6cf436cd8757a70577f5961787c9","","693.20820859 ETH","0.00057726%","80"
"0x4265cfa21b130060ab7dde32c5bce3e1cf6ed24f","","692.94215492 ETH","0.00057704%","2"
"0x18e7f97224372fb75c2b2f3d83185fe0fecdfea3","","692.9213849 ETH","0.00057702%","1"
"0x10ff925b1c0348fba16a4ab5aebffd27d416e46d","","692.88037875 ETH","0.00057699%","85"
"0x31427d264e4bf0e582e7cb55a46bdde7c1598927","","692.85354481 ETH","0.00057697%","98"
