Address,Name Tag,Balance,Percentage,Txn Count
"0x9246065aa75374b1c0b208861923520dc03325ae","","850.7822 ETH","0.00070848%","3"
"0x5700a8ac40c60f9f2e72b064a28e3f4a1a468c97","","850.72122486 ETH","0.00070843%","3"
"0x5916e9dcd7a628d7fd89d66bcc36146abcf1895a","","850.57089404 ETH","0.00070830%","6"
"0x425fce3ca21719c0c3c26edbef2b9308812a0c71","","850.49524866 ETH","0.00070824%","429"
"0x5fe93f7eb2140ce15a5b3430bc1c3a4043a3e532","","850.45765306 ETH","0.00070821%","3"
"0xcc10ea356d4b03b12518d5888de1d720227ddb2a","","850.25583638 ETH","0.00070804%","25"
"0x35234a3fdb07b4443d5398cbfd64261e1d87a763","","850.1992 ETH","0.00070799%","1"
"0xceb8f9b5f55b6c17e438c002a88abb680bc2620f","","850.18598659 ETH","0.00070798%","968"
"0xa221406bfe86ceec0521893e076df3c98f5297f0","","850.1 ETH","0.00070791%","39"
"0x782f52f0a676c77716d574c81ec4684f9a020a97","","850.055 ETH","0.00070787%","1"
"0xc888e09b3db0ce23c439a8f36f4297a11461fa13","","850.01339889 ETH","0.00070784%","27"
"0xef30b2cea23d0bfe6f5e6295249fc1cfe13ac9f3","","850 ETH","0.00070783%","3"
"0xfde0ad71a2c36e3c6c070ee53c836ec76ff9c677","","850 ETH","0.00070783%","2"
"0x36528fdee5eec399e7a19015eaf7a3795674ef8d","","850 ETH","0.00070783%","0"
"0x1ba9f7997e5387b6b2aa0135ac2452fe36b4c20d","","850 ETH","0.00070783%","1"
"0xbd64d3204f4596b72ae07f52ff6ff3e6c731f4b2","","849.99770501 ETH","0.00070783%","2"
"0x7d8a15f091318b96aec318b7dd72d7085305a0d4","","849.98159909 ETH","0.00070781%","3"
"0xa6f25cdf54b9777603066638de5035372d3ca35a","","849.94138672 ETH","0.00070778%","48"
"0x58ee824cd0cc6c4e2b1e129b86f6d6f60004fee2","","848.84190446 ETH","0.00070686%","25"
"0xdd02417b39163ffa40b52a3548ae9b7f747c5ec1","","848.20286159 ETH","0.00070633%","14"
"0xa34edd0e0223c2151b8408e3043b2f6edc564fce","","848.18090172 ETH","0.00070631%","82"
"0x3999a07f8beb79cbb8b881d9b7e7980f5aecc097","","848.17894599 ETH","0.00070631%","68"
"0xc287c66706c7237cf63c8fe88125ef6c341370fd","","848.1057307 ETH","0.00070625%","5"
"0x7633d6bc075ae16e4c6dc298f5038cb54681b779","","848.04430178 ETH","0.00070620%","13"
"0xb99b0fc1fea235d7083d67addf825958724eb194","","847.67120802 ETH","0.00070589%","41"
"0xa15a5fd5a3f99d52b5741476572dff8d5c96580c","","847.61020754 ETH","0.00070584%","408"
"0xd056e5afb9ce6e055996bc217eefdab33f8b551b","","847.4806374 ETH","0.00070573%","213"
"0x675f57d8835523f6da6b365309cf7c235e3be952","","847.001614 ETH","0.00070533%","17"
"0x592a94353879a5bc2a50f0cd5037b7a91e3f5aef","","846.58242082 ETH","0.00070498%","92"
"0xff482bb7595deccf63575eda0f1aa30077247586","","846.57389632 ETH","0.00070497%","1"
"0xdf28b425f2e2a435255ef2b4152130d2d814c2ef","","846.35033554 ETH","0.00070479%","30"
"0xef49d6d9ee37fce5835354a63b724234f5434e50","","846.3151119 ETH","0.00070476%","21"
"0x1c0cc4b203ed5572a923cc6209d9e6347a4866cf","","846.1967769 ETH","0.00070466%","2"
"0xad8b38d28b0db8e8cebfed4c67bd01befee55e01","","846.18455052 ETH","0.00070465%","1"
"0x4b1f3818060ef325d4a0ce3db3de6a7b3f8f5733","","846.07218881 ETH","0.00070456%","24"
