Address,Name Tag,Balance,Percentage,Txn Count
"0x76efdc60193dc95804b38ef9677f47e5d4ec0337","","584.5668047 ETH","0.00048679%","13"
"0xb820d495fb9a76be0088e06b871aa1b074c42c4b","","584.5018603 ETH","0.00048674%","271"
"0x2a876e5e117989ec867ba2a184152e8d0139336a","","584.39724616 ETH","0.00048665%","3"
"0xbefbd54e79b086fd561fd17056d99b07a6bd33d7","","584.36112465 ETH","0.00048662%","19"
"0xdfb9cd8a3c34ffd51e620ccfd23fbff6b0b63e9a","","584.23240361 ETH","0.00048651%","10"
"0x3e31acf0b636f4b65d3cdf897250fa99caa163d6","","584.22262729 ETH","0.00048650%","4"
"0x4972948ab1b356c2e0684db2fb6f816882795a1a","","584.08980645 ETH","0.00048639%","5"
"0x73f3007f5737691fb30cd7a9ffab98e77471ca1b","","584.08840728 ETH","0.00048639%","3"
"0x78e1ae84713e35e1364a8a888f09b5b40604a65d","","583.92074398 ETH","0.00048625%","32"
"0x1cb4d86982c55499c383ea865098632f11670deb","","583.87859937 ETH","0.00048622%","7"
"0x54d1e805c4b5ac51397741e64578aebd4cfdd5f2","","583.56556381 ETH","0.00048596%","5"
"0x7172e2938e6b30113fad2269141b27fddd9c951f","","583.51031213 ETH","0.00048591%","2"
"0xc4003e5f74a1988ee39dd9494393d0b5ea0ced9b","","583.32007082 ETH","0.00048575%","2"
"0xa66bbb14855c43e7bc38953211664ab0c8273600","","583.23491929 ETH","0.00048568%","11"
"0xc2be80a12bddfc4232ded0e1dffd86d4a21ec65c","","583.1583493 ETH","0.00048562%","10"
"0x5710d1e24902d1cdb9cc4dd622a579fece55f372","","583.03 ETH","0.00048551%","14"
"0xa0f2bf7a4fc90a91aaf6707a00175aa3177f5573","","583 ETH","0.00048549%","5"
"0x4c337a27538acee6ef2ee3b78176bb8f3d77ffdd","","582.9944 ETH","0.00048548%","1"
"0x52c3d3cfa946f24c7d33c8709469229a52b65442","","582.95350195 ETH","0.00048545%","21"
"0x26c3093a7516c95e01c698d34348c814bd0a0ac5","","582.86260492 ETH","0.00048537%","55"
"0xca9c9ce08ab150237063dfec5f110ba0d52de61b","","582.77792526 ETH","0.00048530%","15"
"0x15c86d3dae8e19cdf13700a34d36c0dcdcda2b54","","582.31609388 ETH","0.00048492%","36"
"0x4c36477d74e52f9279c9fde6d641832e7e373d31","","581.99230764 ETH","0.00048465%","4"
"0x0041e3db2b27d16a2f4fd5f6a5622974fff104dd","","581.98510663 ETH","0.00048464%","107"
"0x02583c2eac4a094961e75da682136d74a14e82b8","","581.86291855 ETH","0.00048454%","36"
"0x537ad4fff25323510050b24e5b07147cbe755df8","","581.8322353 ETH","0.00048451%","1"
"0xbec768b10702610ecc38c1f78c4a6ea5c701d910","","581.725 ETH","0.00048442%","6"
"0x24cb59f05d92d5d6fa14ef25103fdc13349ff0a4","","581.71990047 ETH","0.00048442%","9"
"0x93fab8cc2d9e27aa0b757f3ff96e7b15402a6d86","","581.65183838 ETH","0.00048436%","4"
"0xb5b6b675749a7eae6c0407a52e414bca72315ff7","","581.57105757 ETH","0.00048430%","5"
"0x7a624a30fe0d068aba1d7ac0a9874d404943a028","","581.56856397 ETH","0.00048429%","3"
"0xe6b9829132b78963b891608e2182720439445cc5","","581.526218 ETH","0.00048426%","2"
"0xbb5590a3d69e2e1096aa8f08e9f438581944cb66","","581.45705119 ETH","0.00048420%","4"
"0x93c027865354e96a1e9ec69fc8253e6d49013f82","","581.28131389 ETH","0.00048405%","2,026"
"0xe54f6fcf4e42fac241ed4af8e6ec8d1b5fa3b33b","","581.11132636 ETH","0.00048391%","7"
"0x8c06e9baaf6ac5532337fccac0ae5c4322bfccf9","","580.94449605 ETH","0.00048377%","55"
"0x8dab212dcce14210507eb85fe6b8324d07fa88e0","","580.64833242 ETH","0.00048353%","1"
"0x071f0d42dd2f6a18da42617f369a45f6fd1ced02","","580.41188261 ETH","0.00048333%","12"
"0x46662145a47ce00e7f4ef13ed0bb8fcf0259babc","","580.32586765 ETH","0.00048326%","49"
"0x257a53e0587126ca6e07b78464294f52edc53408","","580.24927317 ETH","0.00048320%","11"
"0x67613313ceafbed1b7b11744d4dc38ceb54ba538","","580.2316231 ETH","0.00048318%","10"
"0x4fe8439549fff633f8741de6d74dc0710ef2ef66","","580.2266544 ETH","0.00048318%","20"
"0x5e5faeb2e08ab1c784cc4cd23afea648ae67329b","","580.2044568 ETH","0.00048316%","4"
"0xb181f4ac7f26f90a27722a90aaa49108f1452f47","","580.08423335 ETH","0.00048306%","7"
"0x1c275e462f5cb5513b954d23f55595552af62861","","579.9993662 ETH","0.00048299%","49"
"0xf2a10adb8415b2316ef49ab3b7c7dde0a17653da","","579.99885327 ETH","0.00048299%","2"
"0xe989f4c9905a90315fe8552238e2a9cb6becad01","","579.990147 ETH","0.00048298%","18"
"0x425db0a4663bdfc942d7905aa6c425721284460d","","579.9882 ETH","0.00048298%","2"
"0x96da1b258d4c7921a15f6be25c8d012cb4f84503","","579.95488107 ETH","0.00048295%","2"
"0xfe05a3e72235c9f92fd9f1282f51a8154d6d342b","","579.81351479 ETH","0.00048283%","3"
"0xfb37ea667fe2c0b2b56d5010cf5bb9264961a8b7","","579.79915013 ETH","0.00048282%","13"
"0x4b1f60456abcce512461d5fd908f474ff7ce115f","","579.79754951 ETH","0.00048282%","4"
"0x8dac545309f87135bbfec993ee501890523ead0e","","579.45 ETH","0.00048253%","1"
"0xcdf5761737e424a04cfd4b071db568e414cf4772","","579.35967795 ETH","0.00048245%","7"
"0xfd273768d434a3de8194f5c4bde51d099e651c61","","579.35158501 ETH","0.00048245%","8"
"0xf3299f6c2778a544e2c7fe0f2df795dc3f63ef5e","","579.31346668 ETH","0.00048242%","13"
"0xdd130878005844ffdce89035411cb87601f6c68b","","579.13103794 ETH","0.00048226%","3"
"0x047e87c8f7d1fce3b01353a85862a948ac049f3e","","578.98268745 ETH","0.00048214%","10"
"0x6ed670a01f445ab05f1f3924848b831b6e54961c","","578.94726484 ETH","0.00048211%","14"
"0xc7ebb687bcf101928be5fc90fef8369184f61fc2","","578.94489567 ETH","0.00048211%","3"
"0x97f6e5ba65b389537aa49136cbde25f66637f327","","578.8892 ETH","0.00048206%","1"
"0xac16780d3412834957f6f25713f51f02d94e8892","","578.63946948 ETH","0.00048185%","25"
"0x56aff010b088c0b5b52a182d424f5e9d73221a09","","578.59909508 ETH","0.00048182%","40"
"0x0f0676408f3d89e9fd12da9cf901b736b03641e0","","578.54236014 ETH","0.00048177%","10"
"0x98df53b6220c89cb465153e87db1ce4eec5220f7","","578.52707687 ETH","0.00048176%","4"
"0x68d808ee5f4ab855c2aa06f554089ccef8064fef","","578.45045662 ETH","0.00048170%","5"
"0xc7f5aab4f0d4a14a145ec4ecabdea30254365c72","","578.3584204 ETH","0.00048162%","22"
"0x8951561690be58cde3b33a2b5160776c517f4e0c","","578.22 ETH","0.00048151%","2"
"0x367b926c75892ffdd86efbbf49fe1463c2d0a4cf","","578.21467449 ETH","0.00048150%","30"
"0xaa18282537bcef54defe4e03344297c72b39ded4","","578.06046459 ETH","0.00048137%","3"
"0x66387e8c9308b0aa9d28a8bf17acd5050cebeac0","","578.06026492 ETH","0.00048137%","51"
"0xcd7f09d7ed66d0c38bc5ad4e32b7f2b08dc1b30d","","577.798677 ETH","0.00048115%","4"
"0x72fa6719a38fa395565c7c98c22e978504c0fcce","","577.6970134 ETH","0.00048107%","1"
"0xd31ab5ab8cd0f482f5728888519b5c39b5a4a6a0","","577.57116388 ETH","0.00048097%","677"
"0x02cb5bdeaa3f60abb571cb03bb3b5049b8767a33","","577.54374833 ETH","0.00048094%","4"
"0x8bec613ba1af2a20386d711216d046a323c07253","","577.38333928 ETH","0.00048081%","4"
"0x8cfcd94cb79194f82dde44704ccd39c0105d2073","","577.21727813 ETH","0.00048067%","50"
"0xedaeae6bd387add8f81af670d32b56aa29af8815","","577 ETH","0.00048049%","2"
