Address,Name Tag,Balance,Percentage,Txn Count
"0x3262f13a39efaca789ae58390441c9ed76bc658a","","24,335.85022176 ETH","0.02026538%","54"
"0x7a5e99e67d6a5e8995f93d90d34ccb4b58524585","","24,280.69030769 ETH","0.02021945%","1"
"0x4caab33b374048d87f8e7f383f88bd8f08b93440","","24,268.97508415 ETH","0.02020969%","1"
"0x15e34a8324164ef0890471f6f527451f7a22cf12","","24,099.99686927 ETH","0.02006898%","5"
"0x17a96a2103c69c8d283bd8b229938bf339d67364","","23,974.87499096 ETH","0.01996478%","1"
"0xf4e11b89519eccd988a56749f1c64ad9bfe0298f","","23,777.72735202 ETH","0.01980061%","251"
"0x0b691757950dc0781c0a56b7ce6741f04b04c977","","23,768.57148636 ETH","0.01979299%","1"
"0xa4ba59edffeb8bf4036907b3cd2bc4da8c90f5c5","","23,758.11348603 ETH","0.01978428%","1"
"0xddf744374b46aa980ddce4a5aa216478bf925cd1","","23,572.60980044 ETH","0.01962980%","276"
"0xa646e29877d52b9e2de457eca09c724ff16d0a2b","Status: Research & Development MultiSig","23,550.11000066 ETH","0.01961107%","239"
"0x8b34b14c7c7123459cf3076b8cb929be097d0c07","Mode: Optimism Portal Proxy","23,385.4253065 ETH","0.01947393%","8,069"
"0x649614d3f7a7d68b3cf3c00264a07eeae4326fdc","","23,073.401 ETH","0.01921409%","6"
"0xebec795c9c8bbd61ffc14a6662944748f299cacf","Fee Recipient: 0xeBe...Acf","22,907.73579029 ETH","0.01907614%","157,988"
"0x3bdc69c4e5e13e52a65f5583c23efb9636b469d6","Rocket Pool: Vault","22,811.23375052 ETH","0.01899578%","6"
"0xbe8fe56063aa85014ea674db171dcba015c3a4d4","","22,735.07818158 ETH","0.01893236%","2"
"0xde8b1b1c6501c4aac85df0e64a198fb7bb65ea60","","22,500.03520728 ETH","0.01873663%","2"
"0xbc5a4a09450b4106be9a4df3d85da3f4617e819f","","22,383.3515282 ETH","0.01863946%","269"
"0xcddf488f1c826160ee832d4f1492f00cf8557ff6","","22,343.48 ETH","0.01860626%","120"
"0xd01ae1a708614948b2b5e0b7ab5be6afa01325c7","QubitFin Exploiter","22,212.58885184 ETH","0.01849726%","136"
"0x8f509a90c2e47779ca408fe00d7a72e359229ada","","22,181.31495285 ETH","0.01847122%","77"
"0xedc4402812c1e4d8312a5a2ed7bfee89c49613ba","","22,090.45204061 ETH","0.01839555%","29"
"0x79b91d213e019c62e6d1ef87c2e6e9fd07320373","","22,088.43704875 ETH","0.01839388%","28"
"0x6fe6b1ab512a0bbef752086bded463107dd8ba15","","22,083.554975 ETH","0.01838981%","25"
"0xabf81ecd63f1e4816abb1747aedbcde720459fe0","","22,080.759239 ETH","0.01838748%","22"
