Address,Name Tag,Balance,Percentage,Txn Count
"0xa1b9cf0fdb709b82d6c9e4f77292c7a947948b71","","1,508.3691025 ETH","0.00125608%","23"
"0xc0a604bc22e383af75cb0330e99f1b9046064a83","","1,508.36077955 ETH","0.00125607%","56"
"0x945aa143762ead221eaa5aa38faa5b5eeea52482","","1,507.96800741 ETH","0.00125574%","119"
"0xec4303fa7617436ede99f4654ec3b066fbd53270","","1,506.96691419 ETH","0.00125491%","19"
"0x9d60035f6f19ecb8a8daaa622ad53cdbbae08279","","1,506.60490679 ETH","0.00125461%","46"
"0x88e6998cec706e80ca3f38d635e9ee503f50d83d","","1,506.13799667 ETH","0.00125422%","7"
"0xa36ca50451e9713474d8061d78819b24a7a2d774","","1,505.982005 ETH","0.00125409%","8"
"0x67a80e0190721f94390d6802729dd12c31a895ad","","1,505.957868 ETH","0.00125407%","18"
"0xd5dfd43b6037cfa94ff9d9d9f9a2c31d28f54720","","1,505.02428425 ETH","0.00125329%","15"
"0x38fe9de76fd897bde5158dd01f1b4061a04ebe91","","1,504.50245171 ETH","0.00125286%","20"
"0x4f35f119145b8d599d2b70b37c73086f71cd416b","","1,503.90625 ETH","0.00125236%","0"
"0xe94e9b050693225222604046ed12c761d59b8898","","1,503.20425 ETH","0.00125177%","4"
"0x041ba374847e4833a7fefc8a17b094ae3f8723a9","","1,502.9044429 ETH","0.00125153%","2"
"0xe7b0bfe3a3fe263d9afd2f5db8a3f94ae6861b70","","1,502.03448097 ETH","0.00125080%","14"
"0x8596056f7a123117e8964b1c09c75b036778cf7f","","1,501.98 ETH","0.00125076%","1"
"0xe825aa9903af03fcc854d785cd4d2504127490b6","","1,501.86582092 ETH","0.00125066%","28"
"0xb8715c9555838c67876f9d2a7b65a098051989bb","","1,501.8055467 ETH","0.00125061%","1"
"0x1778767436111ec0adb10f9ba4f51a329d0e7770","","1,501.65093545 ETH","0.00125048%","1,447"
"0x32a91311f159c2ab121cece5683422b088182061","","1,501.5010369 ETH","0.00125036%","23"
"0x27d51fbf894b9300eca59b629cc05996c5866797","","1,501.157 ETH","0.00125007%","7"
"0x79cbc887bf73fed113563123e236ea4d8d7c423c","","1,501.008716 ETH","0.00124995%","3"
"0x1b70d3b15e7e77ad9c7a140fed06ed587f4ecc8e","","1,501.00304643 ETH","0.00124994%","11"
"0x394dfe321182b646f606cd3ec0ed77da3fd4e402","","1,501 ETH","0.00124994%","2"
"0xfaee4ff197f8c8ab5b444159b4b453b7a3d6e3b2","","1,500.99860022 ETH","0.00124994%","6"
"0x48c4604581aa8306ac0c932293595ec96a4ee210","","1,500.9976356 ETH","0.00124994%","2"
"0xd1fec7163e40eed9c6b8f4672d3b57315e99702b","","1,500.99560184 ETH","0.00124994%","3"
"0xa2f7e129f868a99a3d2ed16af1b8e079a1642829","","1,500.98439476 ETH","0.00124993%","15"
"0x9bcd04fcf5572ada0356197115f077e55dddd256","","1,500.96869919 ETH","0.00124991%","32"
"0x5d616e813ba53a898fc936dc473443b525451e9d","","1,500.89051455 ETH","0.00124985%","10"
"0x91d65caf4b9562779e39a30ea492bd4b02a9acbb","","1,500.79530175 ETH","0.00124977%","42"
"0x5e7f244fafe8b5c27538ac90fc44116a3a46d10d","","1,500.71733567 ETH","0.00124970%","20"
"0x6b247a9fd596c8ecdc9ad1182f6cdec3172efbba","","1,500.65271465 ETH","0.00124965%","85"
"0xec98b8fcb0a27f7d10a7def08c9c48cc061b04cd","","1,500.65176773 ETH","0.00124965%","56"
"0x4a4e7d20d12d54091b3b1f7c025723759aebffe2","","1,500.59442229 ETH","0.00124960%","16"
"0xaedcbb0074b9b10d025f5a4b62545db3ac2c960a","","1,500.49885884 ETH","0.00124952%","6"
"0x66bd77c02eb003995904867b68646591f4bce08c","","1,500.4895 ETH","0.00124951%","3"
"0xdf6408ac59eddaedb0a011c1de19b3a23b30ad57","","1,500.39387022 ETH","0.00124943%","4"
"0x51ff644087f844ebbfb81483ca7247ad888297c6","","1,500.27535057 ETH","0.00124934%","119"
"0x3bc1676606cd9d32dd84cc3ab1b9f16d4953f475","","1,500.10603761 ETH","0.00124919%","7"
"0x7b792749af6e5e01694f28002264347a719ec462","","1,500.09977152 ETH","0.00124919%","5"
"0x4090f7360afa0e3a73a62293ad74cfb4d3fdf474","","1,500.098194 ETH","0.00124919%","17"
"0xdef878af622dc0d007194215d9fac9f8c66ed13d","","1,500.09448337 ETH","0.00124919%","1"
"0x2ab74f7dedc7a8bf7f727071e178d7677ac3727e","","1,500.084 ETH","0.00124918%","4"
"0xaec98f7c8941643032ccb70da93d10332e18a44e","","1,500.03231176 ETH","0.00124913%","67"
"0xb5fe0bc8ecb6e54bdba1afbd579b0edc022f11a1","","1,500.03 ETH","0.00124913%","1"
"0xffbbd87f03eacfa212aaeaa0ae9b122fb6ccd98b","","1,500.02 ETH","0.00124912%","5"
"0x67f889e6c1ce3e817705e00d528eb7f8be492b9e","","1,500.00407784 ETH","0.00124911%","1,082"
"0x0c2d66682bc179235c1cfe1df89269841169e354","","1,500.0040764 ETH","0.00124911%","122"
"0x90f47dc4ce75a9538e01877dc5e725855dc3b982","","1,500.00370434 ETH","0.00124911%","70"
"0xa05b0ecd3a4f5274942f5d093ef395b1c30c5dda","","1,500.00037666 ETH","0.00124911%","51"
"0x3066cc1523de539d36f94597e233719727599693","","1,500.00001 ETH","0.00124911%","75"
"0x55ca4b396927c323326eaa4a3a2743c59b231d06","","1,500 ETH","0.00124911%","74"
"0x1ec7515a660891aa38782c8fb6120757fca99422","","1,500 ETH","0.00124911%","10"
"0x172ad88d60b6fe6d9258d2125f8fb59847e93b2c","","1,500 ETH","0.00124911%","1"
"0xcde525bd723090284ee2f958c729d83cf117aff9","","1,500 ETH","0.00124911%","26"
"0x8940578c66323a0d43b54aa1133403a9a501f0fd","","1,500 ETH","0.00124911%","2"
"0x53c0d1d43aacfa00bb7a8963de146928c0affa7f","","1,500 ETH","0.00124911%","3"
"0x2f666f5d2de2056438a40a93e125af7b8dbcc5d4","","1,500 ETH","0.00124911%","1"
"0x6cd67b2155cdd5144a567b8fe47cae2825df1db7","","1,500 ETH","0.00124911%","13"
"0x08e867544c3e95d07040d56094a7baf971f03e6b","","1,500 ETH","0.00124911%","1"
"0xdd747834bca4defe510537150f0182b674ccbf2f","","1,500 ETH","0.00124911%","2"
"0xfc3ad0aa8426988fbed81bc1e6cb7e846c330281","","1,500 ETH","0.00124911%","1"
"0xbf694e2b41491e7dd9e3ed1f250f0358af3cae8c","","1,500 ETH","0.00124911%","2"
"0x3c8d302375306bc6722da9ab1603696ad5c627c5","","1,500 ETH","0.00124911%","2"
"0x9c4ffd982a2f843e4da9751bb1182bb68ad3185f","","1,500 ETH","0.00124911%","2"
"0x3d40e3360717d53c7f356d179dfb9e816ca23561","","1,500 ETH","0.00124911%","3"
"0x592aa5f1276ad487d72f7ecf4b2c104cacd8c7f9","","1,500 ETH","0.00124911%","5"
"0xdcef1e7a5db0bd1d4bdfca58f6a434e8732bd6ef","","1,500 ETH","0.00124911%","7"
"0x6fd2bdfffb7ba673cb94f79dfe95f4866345846e","","1,500 ETH","0.00124911%","7"
"0xc28dbda8c4a36839e667b9a2938d402e6a2923de","","1,500 ETH","0.00124911%","0"
"0xc5aad0a40075f0c0e036c12180ba86e169979aae","","1,500 ETH","0.00124911%","4"
