Address,Name Tag,Balance,Percentage,Txn Count
"0x6519fd4210acb021e7702c56116634cbda0b69af","","900 ETH","0.00074946%","22"
"0x624ac3103b787b42df1c51cdd69ed05c8aca5ba8","","900 ETH","0.00074946%","8"
"0x5d290a268202c80d4508d3bf84c0ed93be2f5b51","","900 ETH","0.00074946%","2"
"0x5bf41d3973c4981ac667f3aaf12578babe0f0a58","","900 ETH","0.00074946%","2"
"0x591d63ffae6b2005b453760b8582428071131e08","","900 ETH","0.00074946%","2"
"0xada31d5072b78840c45dfc56bf2bf7ec0c15af09","","900 ETH","0.00074946%","1"
"0x0c99521fd3f990e83c14688d15d5c49f00f26366","","900 ETH","0.00074946%","1"
"0xea258b5e7e026aeaf8c4aaee29dcfec8582c8684","","900 ETH","0.00074946%","1"
"0x7f1619988f3715e94ff1d253262dc5581db3de1c","","900 ETH","0.00074946%","1"
"0xdf60f18c812a11ed4e2776e7a80ecf5e5305b3d6","","900 ETH","0.00074946%","1"
"0xeabeb0753a2e58acd9359aad9bb9406b4183c039","","899.99870145 ETH","0.00074946%","1"
"0x0447ca23800c6ec4c27c139968451803174cf5d9","","899.99789321 ETH","0.00074946%","5"
"0x4d01f1c1398b3edb32375d99ebfe5d0a7b04916f","","899.9975831 ETH","0.00074946%","1"
"0x6edeeb5ad475abed35bbac7a53e44395087f9853","","899.995852 ETH","0.00074946%","15"
"0xdf4295d10243989fb8ae1ac3377e3b07bd5ac2bf","","899.99339042 ETH","0.00074946%","2"
"0x211341a65e51eafcbc215e132115afbe40f8abf2","","899.9925059 ETH","0.00074946%","8"
"0x462cce2c87682ac23529ccd9872ce29e39ce0ba9","","899.99 ETH","0.00074946%","1"
"0xe78dab83576fc3f80a9a9bd7482dc5fae961887f","","899.97626261 ETH","0.00074944%","21"
"0xf666a86b632a8345c6cb1f21cb25ebf9d4c41935","","899.91705198 ETH","0.00074939%","2"
"0xc7fd1d5609815a5d9734e7d7bb0dd93ddf8da61f","","899.87029064 ETH","0.00074936%","45"
"0x13490b5b0ff1b6e6c4bea93852d1eb590e4373aa","","899.755 ETH","0.00074926%","12"
"0x8df59688e40da7747e6a21ee723df6a22f6f9123","","899.45126638 ETH","0.00074901%","84"
"0xc3cb3efde49188a26f97a7a4f875c926236850d7","","899.30665977 ETH","0.00074889%","205"
"0x07740c733c184edb359811b0c33616d63980d329","","899.2853 ETH","0.00074887%","8"
"0xa7205aafe5c289495bda473a3e4a1c7e8d89e6d1","","899.1244455 ETH","0.00074873%","13"
"0x460c4e6e7ca0a8c68180d462a2c768080e93644e","","898.919475 ETH","0.00074856%","4"
"0x00fa2f5b360d188ea351995eb9e9853c1cbfcd5d","","898.47391811 ETH","0.00074819%","19"
"0x976068b7c52b19900faee66f5db8450e22dd65b3","","897.9677901 ETH","0.00074777%","0"
"0xc017d24defa22cd717e579e715d3e88ca751bbd8","","897.88409621 ETH","0.00074770%","5"
"0x40a2a858291138dd84b5301e33b41ceff4239e39","","896.73894159 ETH","0.00074675%","54"
"0x5743768ddabfb87f84463bce4d8a1a30da913429","","896.42919803 ETH","0.00074649%","11"
"0xfe37481b734b53297d12db84f509cf5c82a332fe","","896.25758673 ETH","0.00074635%","14"
"0x51e1302db8c518e20b04408d4a8ff5a947b9983d","","896 ETH","0.00074613%","5"
"0xe8e38c11217cd86f43ed438af1d203dce3104836","","895 ETH","0.00074530%","1"
"0x9e33a5a6136ae48fa6550efb88fe531080efc362","","894.96745726 ETH","0.00074527%","10"
"0x71518580f36feceffe0721f06ba4703218cd7f63","","894.91601713 ETH","0.00074523%","3,240"
"0xab8925d944223c0c403e2af8366ac2995701fa90","","894.8855157 ETH","0.00074520%","10"
"0x6fb6b4d5605bfb9e21b7edce0ebd335021c13274","","894 ETH","0.00074447%","1"
"0x07b3ca546c1011aa0b801a539e6ee5c5bba1a86f","","893.95883734 ETH","0.00074443%","67"
"0x4b05b038a5291f61c1d2c496549b477b7cc3e495","","893.6974 ETH","0.00074422%","5"
"0x06b4bebee993b12c0917fba71cf2fc5c694a018d","","893.69661832 ETH","0.00074421%","15"
"0xf4b6217aedeb2a4a03e0cddce98a36fcd59cde91","","893.62455637 ETH","0.00074415%","13"
"0x9fd73e943a1e80d4cb33aa0cc81d8da148824d44","","893.35987505 ETH","0.00074393%","137"
"0xfc2c8c677d09aab5fa8a0c5b9dd721e109daa8ec","","893.2732553 ETH","0.00074386%","2"
"0x2cc822192804f4509355a8e09e2d1d71459c0e50","","892.67723621 ETH","0.00074337%","4"
"0x09ed9806af2db7a1b36a81a7d20b92736cbc649c","","892.32122384 ETH","0.00074307%","640"
"0x72f4ff1b2f05fde17742dffc256d8a9e79824ee2","","892.31998291 ETH","0.00074307%","11"
"0x21b813c9ce9b06e3566757bd0b2374c855974284","","892.093399 ETH","0.00074288%","4"
"0xc8bc140141455ba4d70b1b707b1cac22c66815e6","","892.038425 ETH","0.00074283%","2"
"0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4","","892.0113134 ETH","0.00074281%","38,242"
"0x443eb419a523b0d61eee1ebd7796a6221063ba53","","891.64197198 ETH","0.00074250%","17"
"0xbd432a3916249b4724293af9146e49b8280a7f2a","","891.3855632 ETH","0.00074229%","46"
"0x2d88e07b3d141e71c8ba6c1f6c7e4eca4fcd86a6","","891.38132018 ETH","0.00074229%","9"
"0x66e5555ec62a9ddf8efa76d2c1840f2474a0e8ac","","891.0848693 ETH","0.00074204%","7"
"0xf2e3d648a751eaa0f18cc46e5f8c038f0798aeb3","","890.4442352 ETH","0.00074151%","56"
"0x0c3971a66f4a96da628bfd602e51fe9a6039b2ef","","890.20914258 ETH","0.00074131%","491"
"0xbb544af6eaeba2fe59ca4b4cc7aa6583ad9c4cfd","","890.17638122 ETH","0.00074128%","18"
"0x49f1c51dfef849c0a72b9f914167923f6b10733f","","890.005 ETH","0.00074114%","1"
"0x66c49e647e3e8c45f6ad2f3d11b28c88d018223f","","889.46704208 ETH","0.00074069%","3,805"
"0xb10b83e105ac4fc351fe044b91cdf0d5f8bd1818","","889.31061626 ETH","0.00074056%","2"
"0xea437845c8bd381aab311323039d673f1eb20864","","888.997 ETH","0.00074030%","1"
"0x4a135d7d5db73eb9893c095e372444cf40a79c91","","888.83403562 ETH","0.00074017%","43"
"0x9e50550addd444f70ae8e29917c535db4435c1ab","","888.5686505 ETH","0.00073994%","5"
"0x80ab94521902835b218e4147e57c0f462dbafab0","","888.14 ETH","0.00073959%","11"
"0xa6d7c81536e1665f61cc8f3b8204d64c0ff9eb16","","888.00910404 ETH","0.00073948%","8"
"0x6dc2a46ff9299c8f6f610a3af1a2d1ad0baf53a8","","886.88798512 ETH","0.00073855%","1"
"0x857760ea44ca010cc7cbe406d972fc44bc819fa5","","886.64 ETH","0.00073834%","2"
"0x5bb7ab5e186efaaba77fbbf2e22e1152b7e7e5e0","","886.49978001 ETH","0.00073822%","3"
"0xb73b0fc4c0cfc73cf6e034af6f6b42ebe6c8b49d","","886.108 ETH","0.00073790%","96"
"0xa19766c0084dce3abab0a179e4e41915505d810b","","886.09030818 ETH","0.00073788%","34"
"0x43cb8d8af5658cda3913e62e061141e83d390a4e","","886.0559058 ETH","0.00073785%","4"
"0xbff94b1ed1027fbb1e35b0b2d29394d2e134585a","","885.997 ETH","0.00073780%","1"
"0x5dd693c3eec7e6f0984410d5dc2850a3b2bfc9ad","","885.88040934 ETH","0.00073771%","559"
"0x9190e9d1e3a8e171b64de16d1d6168a32133e320","","885.66480065 ETH","0.00073753%","0"
"0x930d02f2e28f273746808c4f60b7787985238c95","","885.40431049 ETH","0.00073731%","16"
"0x9db012727193108e1144c98649d5ead1d911c711","","884.8788519 ETH","0.00073687%","554"
"0x8b2d08f5fd015e5407e8b374969034540a034a61","","884.79855634 ETH","0.00073681%","6"
"0x17f11cc88ed7bf3b1902f4500393030e6bc9f6d9","","884.33276853 ETH","0.00073642%","1"
"0x7082733ae01097586af1c72737e69e29db98413c","","884.20453379 ETH","0.00073631%","24"
"0x81b6fff426040dcae2afdb2f7693520371013f94","","884.0337958 ETH","0.00073617%","61"
"0xa3117c870d17edbeba6c7570824f7f37fef9222c","","883.9075358 ETH","0.00073606%","11"
"0xab83d96de35bad6f234178fbb6507203488e9626","","883.6244637 ETH","0.00073583%","6,520"
"0x1ec0b8c7deeb1fd3ae0d1909fbbeceab0c255532","","883.53068342 ETH","0.00073575%","14"
"0x48594a44fa292958526d56f27b92e3d24687d712","","883.43222074 ETH","0.00073567%","10"
"0x476d130f4df7e5e1f0e9f58f934753957259612b","","883.35104205 ETH","0.00073560%","2"
"0xbabf907cfbc1af7e8bf2cc3ec3b2d856bd04a868","","882.997 ETH","0.00073530%","1"
"0xcdccc4894579768340410fb9050b66510341a028","","882.36183317 ETH","0.00073478%","4"
"0xa021ca2f5ec4dc539655718bca4fca5d0015163b","","882.27425932 ETH","0.00073470%","51"
"0xfcde2f47a69de5339cd1483cf596326e0fdef389","","881.9990106 ETH","0.00073447%","2"
"0x0f564a2a5fde73349890e86e9b2aa1639994bf2f","Storj: MultiSig 1","881.80577174 ETH","0.00073431%","288"
"0x5c957c7ecc3000581b73123c73c7646068fde2be","","881.69783899 ETH","0.00073422%","28"
"0xc972d681d140d7acd899deb053a6e3c73e3217c8","","881.62288567 ETH","0.00073416%","47"
"0x81a4af55e3bbfcf92f2d9448916807d05d3fb18a","","881.1125035 ETH","0.00073374%","1"
"0xfa8e3b1f13433900737daaf1f6299c4887f85b5f","","880.40481409 ETH","0.00073315%","3"
"0x72298bd3ed75e0aa289ad61c6390596d60ffdcef","","880.0211802 ETH","0.00073283%","48,595"
"0xf79b8f213b21a9d56ba49611c871d64e01d863af","","880.008641 ETH","0.00073282%","14"
"0x2655d7c12f0a98273566015729b261a0b011409c","","880 ETH","0.00073281%","1"
"0x55da9dcdca61cbfe1f133c7bcefc867b9c8122f9","","880 ETH","0.00073281%","1"
"0x98e10de9dd910c0f2b996626c69f5baf123de4da","","879.96725488 ETH","0.00073278%","17"
"0xc168f0d44ed89439360096baf79e63d7fb999e90","","879.95644411 ETH","0.00073277%","21"
