Address,Name Tag,Balance,Percentage,Txn Count
"0x7745eacddeaf29277577f04e4efa6709c8e89401","","2,062.178648 ETH","0.00171725%","7"
"0x92f44a97a41466c6e0468587db9a2e5ddd436ae4","","2,061.28329443 ETH","0.00171651%","47"
"0xa930737b60e35a26786e00b5e125e7c0f90b2166","","2,059.8909373 ETH","0.00171535%","1"
"0x34a3bae6c5fd3369cc3fcb8ad6a9a4f586f5788b","","2,059.42050955 ETH","0.00171496%","28"
"0x1790b35dff098215e3ff705be8f75c3ebafec51d","","2,058.29973433 ETH","0.00171402%","23"
"0x603b190f4841eeed276da076d35e7680184cce17","","2,055.4653733 ETH","0.00171166%","19"
"0x57c39ad59c6592028ce028752fb37433bba33dfc","","2,055.21135749 ETH","0.00171145%","15"
"0x551fa7e8dac7bdcb8a1ae50bce601f2b6081a7cf","","2,054.45715323 ETH","0.00171082%","4"
"0x97ac4af42adf021a18297d630f0c908e2be94a28","","2,052.08501002 ETH","0.00170885%","24"
"0x1bc3046bc92237d3d31cc47d83b695b9dc7d4957","","2,051.88566776 ETH","0.00170868%","3"
"0x2eb36c469f8abe6e184a4215b3964c6b2c689a0e","","2,050.78487191 ETH","0.00170777%","49"
"0x7b3131bd74d508d832dbd6a99dc1ccba8817147d","","2,050.12 ETH","0.00170721%","1"
"0xc1ae5b520b2e8af951135788aea1bc40b450af7d","","2,048.57856612 ETH","0.00170593%","30"
"0x6957a20e85ebbbe2e5a5eb51e216ce7de8d40f48","","2,048 ETH","0.00170545%","1"
"0xe394d604bc333cb601dae8b5fb6bb30a77e32c9d","","2,047.9958 ETH","0.00170544%","9"
"0x99f9fb7cacc8798404eb6f13eb25f534a4943c34","","2,046.61683805 ETH","0.00170430%","43"
"0x5e0481cad8bff5453635f4770f44b2194ddf6e02","","2,045.3444067 ETH","0.00170324%","126"
"0xfaae3a041cc4ac335a6686cc5dcd7e95df862d74","","2,045.09655 ETH","0.00170303%","90"
