Address,Name Tag,Balance,Percentage,Txn Count
"0xddd3ee8adc6fba23b5323e667a5a817d33bed8b7","","16,206 ETH","0.01349535%","1"
"0x87eb003f08152b681294481dd874889877ccbaaf","","16,203.82887193 ETH","0.01349354%","1"
"0x6e02a9cbca1c9678a58541256ad532ee888ae3aa","","16,200.003 ETH","0.01349035%","2"
"0x90006e8948045c49b6e6aa50897d8f4f9ad3b091","","16,200.00000185 ETH","0.01349035%","2"
"0xc71a3d3a5a1ecc158384b59ad5e971d2c0a9dbcd","","16,200 ETH","0.01349035%","1"
"0x3846aed50a2ed5959a4ea897c32c97fc70881561","","16,200 ETH","0.01349035%","1"
"0xcc2c15a7fec4958c71a5555807dff588d8517dd8","","16,199.996 ETH","0.01349035%","3"
"0x9cc64aabaa3d3859742c7cb22b0ce4b9e4e77875","","16,193.22284191 ETH","0.01348471%","2"
"0xc12386613bcbf62be78ee80077a721e8cba3bc12","","16,161.35360642 ETH","0.01345817%","1"
"0x02ee13ffd5cf5e6731d4ceab28394074bb185f61","","16,160.8244466 ETH","0.01345773%","4"
"0x688dd446b595d5702e9dcb545c89261b1c0c7cc7","","16,153.00778198 ETH","0.01345122%","1"
"0x33380c6fff5acd2651309629db9a71bf3f20c5ba","","16,100.001 ETH","0.01340708%","3"
"0x3ddedbe48923fbf9e536bf9ffb0747c9cdd39eef","","16,100.001 ETH","0.01340708%","3"
"0x30511832918d8034a7bee72ef2bfee440ecbbcf6","","16,100 ETH","0.01340708%","2"
"0x25e50cab2185963446dfbe85cbbbdce47083bcfb","","16,094.53257373 ETH","0.01340252%","1"
"0x6d1338ae291fa7cbbf74f1b18815005b5d060e0c","","16,093.78784328 ETH","0.01340190%","1"
"0x3744da57184575064838bbc87a0fc791f5e39ea2","","16,091.95246234 ETH","0.01340038%","230"
"0x3ab6a1687c1205cd9da74f079c84deb3369a6124","","16,055.177559 ETH","0.01336975%","2"
"0x7879a9a2e67becd33ea97c8597ca249bbee54fac","","16,048.36764612 ETH","0.01336408%","1"
"0x8d12a197cb00d4747a1fe03395095ce2a5cc6819","EtherDelta 2","16,047.29272124 ETH","0.01336319%","11,547,179"
"0x50cde33eb1dbd3624529f2968e4443dd8fbc1811","","16,047.21837973 ETH","0.01336312%","2"
"0xf5b4386394cb52999d43517bf89acb4fe902fa09","","16,046.79119835 ETH","0.01336277%","1"
"0xfb52f9b1ea8e27e19a50cb85dbfa16e28961363d","","16,031.18343288 ETH","0.01334977%","52"
"0x075b440d4d92aaf2b66f1365b81a508ecd25a40d","","16,029.61202328 ETH","0.01334846%","3"
"0xda50ba5e12c01bbef277bb7261c61c5f56a77c26","","16,023.814159 ETH","0.01334363%","2"
"0xaa06a9e8c44db313725f658a25f60df0ae5c1f72","","16,021.15925 ETH","0.01334142%","115"
"0x065ca01cbe3a4c16d291cad834f644344c24cf4e","","16,000.63373754 ETH","0.01332433%","38"
"0xde9363fa15552ddb89d5d34376c36c0fcf914d35","","16,000 ETH","0.01332380%","2"
"0x0b7bb342f01bc9888e6a9af4a887cbf4c2dd2caf","","16,000 ETH","0.01332380%","2"
"0x971c785796fedb5aa2bae0395d055efdb8a38058","","15,999.994 ETH","0.01332380%","3"
"0x4b95059fe81b1268648c52976c034b9be117d4d7","","15,999.894132 ETH","0.01332372%","4"
"0x93a654a2813f3ad052929752124b51d68bb9fa8f","","15,947.38509904 ETH","0.01327999%","1"
"0xdeb294797d166d580675dc5aaef1a25378ccb626","","15,929.90830543 ETH","0.01326544%","1"
"0xd404316d5bb0641853edaae62a92ccb6f2d820bc","","15,928.67987537 ETH","0.01326441%","1"
"0xeb3b9f824c8551a58a427aeaaa1044866bb5e28e","","15,924.11695912 ETH","0.01326061%","181"
"0x8936424b558a95fbdec5938b1dd95a11e40a4532","","15,898.06288024 ETH","0.01323892%","3"
"0x24a52ece417147f1a7ad7f11ad572900ab8047b6","","15,896.88328431 ETH","0.01323793%","5"
"0x36eed1a4dd70f0731dd20ef76c32345185a8a042","","15,810.2096069 ETH","0.01316576%","72"
"0xf9ad8f6cde350a9731ef7c77fc588ce88def56db","","15,798.11470399 ETH","0.01315569%","1"
"0x9c7e1966808a95a3bda73619f76c35fabc46fe6d","","15,795.22851346 ETH","0.01315328%","3"
"0x500140ce79ef3b75fc2dbd9690aa32e9da4296d6","","15,790.16452846 ETH","0.01314907%","1"
"0x1271892c3724cff1416dc14c2b4e27a368cffeb4","","15,783.91569826 ETH","0.01314386%","3"
"0xa318690a8fe1a02e6fa568ce84125c9d82823b05","","15,775.07948 ETH","0.01313650%","18"
"0xb8cbbf78c7ad1cdf4ca0e111b35491f3bfe027ac","","15,736.184487 ETH","0.01310411%","1,124"
