Address,Name Tag,Balance,Percentage,Txn Count
"0x276d18b7817595c0f7cfd1e8f183b5ab2778bfe1","","5,193.54587517 ETH","0.00432486%","14"
"0xc83deead548e132cd1a0464d02e2de128ba75f9b","","5,176.62824614 ETH","0.00431077%","2"
"0x7f8cc951ffa51b5f4957dea65f55968766100c20","","5,173.52874122 ETH","0.00430819%","3"
"0xb928a97e5ecd27c668cc370939c8f62f93de54fa","","5,169.8128084 ETH","0.00430510%","2"
"0xf38e1c212567d0a94d99844ad076e4ed0755592b","","5,165.51864297 ETH","0.00430152%","1"
"0x93a039b26ec02de712caa51174456bbb599f76b9","","5,164.93221719 ETH","0.00430103%","62"
"0x33cf90c54b777018cb5d7ff76f30e73235a61c78","","5,163.3968917 ETH","0.00429976%","2"
"0xf3d885bfdb1ff37c11f432e42836904ff306ad8b","","5,150 ETH","0.00428860%","3"
"0xa103c1e1e828e56126909f8d7d26239b4f5c84dd","","5,147.33243354 ETH","0.00428638%","7"
"0x1e5f7553ce357ebeed4fb2076733f32bee269a92","","5,144.5 ETH","0.00428402%","2"
"0xd569d3cce55b71a8a3f3c418c329a66e5f714431","Juicebox: Terminal V1","5,131.47330362 ETH","0.00427317%","38,072"
"0xc2ce70fddd183f8a848a69749d9bdd31bec0ecaa","","5,125.43208588 ETH","0.00426814%","5"
"0xf8086ee4a78ab88640eafb107ae7bc9ac64c35ec","","5,112.85148807 ETH","0.00425766%","2"
"0x1605b289c60156971bcd3c410692af54a781f826","","5,100.00746 ETH","0.00424697%","2"
"0x4905288e14f8f8ad21fa1662943475ccd2072651","","5,095.401 ETH","0.00424313%","51"
"0x936dbca4e2e52a84c943c2bf22471e515a4dcf51","","5,092.13157601 ETH","0.00424041%","2"
"0xf4f45de1e7060b3d2b112f5d6bb1c1997a1b87f6","","5,087 ETH","0.00423614%","32"
"0x4bb20207baa8688904f0c35147f19b61ddc16fd0","","5,086.74586366 ETH","0.00423593%","5"
"0x9ee00b6df15228c0f3bbc6c2bfc151f8c42dd9d4","","5,083.35203629 ETH","0.00423310%","81"
"0xc2301960feea687f169e803826f457bc0263e39c","","5,080.4436649 ETH","0.00423068%","12"
"0x92c6a73bc849632c99fef5e880a873a6427c32c1","","5,074.87978906 ETH","0.00422604%","4"
"0x29c03ee3ab1bb1bd36d24c887c7be2e2b735b9fa","","5,065.72867029 ETH","0.00421842%","29"
"0x6d903f6003cca6255d85cca4d3b5e5146dc33925","Compound: Timelock","5,058.29358767 ETH","0.00421223%","75"
"0x722bdd265d29a4d6e820c680a8594a968ff24d72","","5,055.000003 ETH","0.00420949%","4"
