Address,Name Tag,Balance,Percentage,Txn Count
"0x349cb66ccb1a1a56002a87c5a28c5ebcdad86c08","","609.88384079 ETH","0.00050787%","7"
"0x70b70444c8b0ad871e772ddf40835af353ffbe86","","609.83917195 ETH","0.00050784%","2"
"0x57a89df8e7a8ff764885165aac52de3c6a5b6373","","609.81842571 ETH","0.00050782%","7"
"0xb226d47770bfdc10311415e8a9fd521dc4221e8e","","609.7758416 ETH","0.00050778%","103"
"0x9e9829d6c4d20df14afcda2e0ff740e8f7639531","","609.65 ETH","0.00050768%","7"
"0x599ad3f92f76e859f7b7a87dbe3aacb81e54c6e6","","609.56607644 ETH","0.00050761%","253"
"0x42e1738bd0cc07725d5b40213ffa38ef46a3daf8","","609.49540447 ETH","0.00050755%","4"
"0x6e9d79ebbc9e75d656ff933e4a1850dd2283c58e","","609.47587384 ETH","0.00050753%","4"
"0x6e5bc96949f7b156c6be749d2455abbb0ac868e2","","609.35168672 ETH","0.00050743%","11"
"0x288e21d41f2c5aa04612d1de2471f8be4bc49137","","609.34911852 ETH","0.00050743%","3"
"0x994bf40e903c05d323657b78f7376c766eb676a1","","609.16608715 ETH","0.00050728%","2"
"0xa9e2f0da66530c12ed68ad3298ab071bdfc3f483","","609.1 ETH","0.00050722%","2"
"0x49a928401d0b14e060091fb7b564605aea6ee525","","609.02498845 ETH","0.00050716%","17"
"0x845eeebd48edcaa6ad590095458c743571216842","","609.00725856 ETH","0.00050714%","2"
"0x46ea529ad71fa7eab6f28833178ebd92694f1219","","608.99795548 ETH","0.00050714%","15"
"0xc3ff4a02c9b31ed69d76cef5987c93b3ffaa1d22","","608.72957031 ETH","0.00050691%","25"
"0x310d5c8ee1512d5092ee4377061ae82e48973689","","608.62584671 ETH","0.00050683%","2,699"
"0x8a42bde043915b93edbba1f6bf67626a43a21111","","608.55939842 ETH","0.00050677%","77"
"0xd79fa078946d28d0fafec1973217a54f126810cc","","608.43277949 ETH","0.00050666%","3"
"0x9b65c6617c8f49e63a576c45b5c6211fff725d29","","608.42138234 ETH","0.00050666%","15"
"0xeb924341d0dac147c9d42081c288058f4b9e1653","","608.33383289 ETH","0.00050658%","2"
"0xba1951df0c0a52af23857c5ab48b4c43a57e7ed1","Fee Recipient: 0xba1...ed1","608.20967493 ETH","0.00050648%","2,533"
"0xfefe67ffd05c33aae16a1cb4a40faab813f4ada4","","608.19759636 ETH","0.00050647%","6"
"0xa7038844f6ae65f368cc98209a6623e109cdcd87","","608.11797315 ETH","0.00050640%","13"
"0xd69362c0a5b0ff520f2185f6fbbdd5adbd70f3ef","","608.11492672 ETH","0.00050640%","8"
"0xb6ad28cbbdfefb55b6ab059a73c51d6c5c0e326e","","608.11404744 ETH","0.00050640%","36"
"0xb3c84377087743ee7e416fd5fe41473e49ccf4ca","","608.10079247 ETH","0.00050639%","51"
"0x2d8d9da7f7376d47ad846d7b620f91c828dc1fb5","","607.96112092 ETH","0.00050627%","4"
"0xdaf5c273d5fa6edaf58041c10518bf0f334188c2","","607.93121365 ETH","0.00050625%","4"
"0xcde54be8068662ebf498e340704b153bde907d39","","607.90298674 ETH","0.00050622%","44"
"0x95ca9b5fb06d67453ee6025a76554fa16fcf26bf","","607.8040587 ETH","0.00050614%","18"
"0x3932d931f0173c1786ce395b99e0ad244fcf47e6","","607.78339801 ETH","0.00050612%","13"
"0x7c4a909da802a74d83a381b157fe773ff3a67177","","607.71248344 ETH","0.00050607%","774"
"0x28fb0eaa8fd1f0624200079efccd00bccdc8b169","","607.65991484 ETH","0.00050602%","23"
"0xc09626cb55c4f9d7b1517d554c37cd23ae54f8d1","","607.622585 ETH","0.00050599%","9"
"0x6c1bad13fba2083d1ef884ac61aa30d4174a2dff","","607.56635371 ETH","0.00050594%","4"
"0x9e20c2947a3cfacf41965a4142e6e489277bdf0c","","607.45229745 ETH","0.00050585%","6"
"0x825dbfe13481f0c81ce85e88de13dc47d89d3d84","","607.27400631 ETH","0.00050570%","114"
"0x98e62f127b8ba4a43aa76cb9a868b12e99cad013","","606.99328419 ETH","0.00050547%","88"
"0x5f5e2bf739a63d349d39ae611463ee95011a0052","","606.98535009 ETH","0.00050546%","5"
"0x627e3021732e2deab3106b4b3894b9a399e725b3","","606.83793993 ETH","0.00050534%","31"
"0xee91d0d55e60d3f39ef95c751c2a998703231d4d","","606.77574096 ETH","0.00050529%","1"
"0xc4d5b639f6ea787a27b75bcfb33a542e64396ac9","","606.63674091 ETH","0.00050517%","2"
