Address,Name Tag,Balance,Percentage,Txn Count
"0x5c8472ae8af4dbefe9d2695c1f798d382dcf3773","","642.72697975 ETH","0.00053522%","291"
"0x1ee91d630e8bf1ad3b05f7b92c268070df98b955","","642.62916348 ETH","0.00053514%","20"
"0x22c37e3cc47026e731389bd4540f5e5d0bb8fdc0","","642.60374895 ETH","0.00053512%","39"
"0x1ecdb32e59e948c010a189a0798c674a2d0c6603","","642.53429416 ETH","0.00053506%","10,539"
"0xbcf03ce48091e6b820a7c33e166e5d0109d8e712","","642.36254234 ETH","0.00053492%","1"
"0x8dda3195984f9608823ced7b1a27693f50af1621","","641.82553854 ETH","0.00053447%","4"
"0x0564b60f4cad02348c43be300312874c4bb6fa8d","","641.7886615 ETH","0.00053444%","4"
"0x4b296808f414ab3775889fa2863e1d73f958a58e","","641.58886155 ETH","0.00053428%","271"
"0xa61683c3d0654ae220fec10ecfda103aa743e114","","641.39926949 ETH","0.00053412%","2"
"0x4551de478686dbd1226fd2ec4d9ea91dfd18174f","","641.24329382 ETH","0.00053399%","4"
"0x1a34f1b1860885f6b0946847894719711e43ca2c","","640.99220405 ETH","0.00053378%","3"
"0x381413749b4615cd5bbc15404d48822efdfb8754","","640.98384024 ETH","0.00053377%","11"
"0x000077151fc27e13b09b508e0258762d06a4a8cc","","640.97164977 ETH","0.00053376%","4"
"0x15f04a0d62f6195143be20ccf44911a812fd05b9","","640.88380822 ETH","0.00053369%","16"
"0x52e1731350f983cc2c4189842fde0613fad50ce1","","640.6585149 ETH","0.00053350%","43"
"0x0273ead5bd876b4433fcf1b9e3b3ce65f4d92c56","","640.63318209 ETH","0.00053348%","11"
"0x4960df5afc6e311e8668419499d7f701531ae556","","640.60377946 ETH","0.00053345%","193"
"0xc6cb69ad390c0d9d038e299f2a496cfba7b9a57c","","640.5716466 ETH","0.00053343%","2"
"0x54c72fb447839d4b98ebcfba19cf581fc31e531e","","640.56182947 ETH","0.00053342%","4"
"0x44dc6b799dd3dc2571759c02736d24878253e1b8","","640.55978441 ETH","0.00053342%","2"
"0x324299b95c16c564d362e7c73da1b3a0894751f9","","640.3689916 ETH","0.00053326%","190"
"0x9c4c1c2ea5280b06a2b6c7a83ba9311da54fd02a","","640.34452113 ETH","0.00053324%","38"
"0x09ccb2eac5e60fd1a5bfb874c8e882fd7bd92801","","640.19238056 ETH","0.00053311%","34"
"0x21e564dab9990ee6c5a7ac78b67e1facfa0b9512","","640.1879227 ETH","0.00053311%","13"
"0x4811a9a60abc5691cb2e4617ad75ea6a89f6a337","","640.1339534 ETH","0.00053306%","9"
"0xb600eaea7048410fbb6d2fd1c301233732d6143e","","640.08277757 ETH","0.00053302%","3"
"0x0cbc22de68b1b70483278235c14b2033db902ba2","","640.0610913 ETH","0.00053300%","48"
"0xb7035d288c86fc09dd9fa0e872f8b8a0981e7eb6","","640.03302058 ETH","0.00053298%","2"
"0xfb2791b68333a4f70b0c9e9025d418a909901e5b","","640.01097403 ETH","0.00053296%","16"
"0xac3d849d441ec7cd3f7026208210f1104b222c76","","640 ETH","0.00053295%","4"
"0xa2ed5b25a8daf61faf220746926f74dd4e3a5b5f","","639.99970161 ETH","0.00053295%","1"
"0xf57272b056543cd9737d9ed8e5b61fcdef7d6f40","","639.982129 ETH","0.00053294%","2"
"0x1d71838244dbdd89d5553c04a70fb346793696a1","","639.96709117 ETH","0.00053292%","1,050"
"0xb73937616eebba0712929de9d44493c12b6d0380","","639.74550391 ETH","0.00053274%","3"
"0xe308aa3fa4efdbdbe1dba4e542146eeefa2338bc","","639.57556428 ETH","0.00053260%","44"
"0xb8cc3c8bf523ef7fccda537d99e85ee25d532e82","","639.5645379 ETH","0.00053259%","17"
"0x8bc748ab622deecc516433e0a018525935f546b2","","639.27524652 ETH","0.00053235%","59"
"0xbc761ee2bb6ea585d2c400751b1670d46b4a3417","","638.94518307 ETH","0.00053207%","31,427"
"0xc68fe8c583931c62669cd3112a185497943e6203","","638.46460857 ETH","0.00053167%","1"
"0xa630153f8e05ec04951312f722b0755845e75f92","","638.30964868 ETH","0.00053154%","1,114"
"0x781ad556d9f0bea8024c9fd4a100dc62ecced429","","638.23905883 ETH","0.00053149%","18"
"0xb797ff208395e92c5f7ae2720161df37f06e5943","","637.77873894 ETH","0.00053110%","18"
"0xc4f158041508913e92dea7c81ff5e0fc45203a98","","637.59675089 ETH","0.00053095%","79"
"0x87158b0b4b8282f223c4f44283507dc0b04162e4","","637.532 ETH","0.00053090%","1"
"0x793c6237597df12fe10e0e1c2430ce1c9707aea7","","637.5082 ETH","0.00053088%","68"
"0x010ea91a5d9dbda4ab5b00e5f9e98a9377fc10f7","","637.33620606 ETH","0.00053073%","314"
"0xbb6a6033357f52f15fc6c4ab8e83ec635a4dba3f","","637.11669806 ETH","0.00053055%","5"
"0xc40073165f549818fa02c91170e5048188eb8e13","","636.99844054 ETH","0.00053045%","2"
"0x7a76672066152ef065d3e2017f8d9bcaecc8de82","","636.55055215 ETH","0.00053008%","10"
"0x9caee3620858e71282e06b89a3f7285e6ac368ea","","636.45555329 ETH","0.00053000%","6"
"0xfc36a002f275ae19f6b76052426a6451e08cbb5e","","636.08908021 ETH","0.00052970%","177"
"0xbf3664f15c31664c6cabb0f4a76a08cabf8b3d3c","","635.92678017 ETH","0.00052956%","25"
"0xcb308a788784c51d6ea96e0277ed1a0835edae12","","635.64715532 ETH","0.00052933%","20"
"0xdf04ae3c38665ac26a0150f6ef43c28a837cf40a","","635.55 ETH","0.00052925%","14"
"0x9558a90c437a700be040075a2fa59ab8d567ec89","","635.29508902 ETH","0.00052903%","87"
"0xa38d8109127028d3e1774413ef28db70c471cb78","","634.98 ETH","0.00052877%","1"
"0x8d35a7ed8c15deffee0001130a5ab863ef88ef70","","634.67 ETH","0.00052851%","2"
"0x768cd3af95a26d5bddeac50a7386d05a6cffaf7c","","634.46781625 ETH","0.00052835%","32"
"0xb905d183bb47bff6b92132b5cc61bd54fc7e88ee","","634.35759865 ETH","0.00052825%","2"
"0x706080a156ae4b3cfe2ac0a587772e868bfcae1f","","634.11848908 ETH","0.00052805%","136"
"0x7ae6a1ba4576ce7ff8d4277a034962511d696527","","633.98613382 ETH","0.00052794%","4"
"0xedffead83a8fc842cb732d141eb2de5fd43b84e4","","633.97040573 ETH","0.00052793%","18"
"0x8d975674d8fa6d12ff45e94cd8746a49cf52ad63","","633.91037978 ETH","0.00052788%","97"
"0xba934a748cc54058f472bf2e119b8fc855d8f70e","","633.72686377 ETH","0.00052773%","1"
"0xc961da1fad0885e4fa8e340ee99828bebf3e3f32","","633.53977254 ETH","0.00052757%","1"
"0x1dd21cf041f22f8dcd6091dfefaf8cb8654e0387","","633.4523548 ETH","0.00052750%","4"
"0x9161453655cba8344b1d3557b5109424fe364f47","","633.321118 ETH","0.00052739%","2"
"0x0ead949d5a406aa7ad29c2b288b48e38f7270801","","633.18803242 ETH","0.00052728%","1"
"0xbc747cd36a239c44abab08916eb76fcd30ec6d50","","633.1282465 ETH","0.00052723%","1"
"0x5d864785dce52b839c580ad8ced47ba36b90ea11","","633.08290172 ETH","0.00052719%","434"
"0x03dc818a6114434c5db42524d66b191aadda497b","","633.00320775 ETH","0.00052713%","173"
"0xb0d8acf5bd406bdfe156693cc0c6f4cd1dc0ae64","","632.9979672 ETH","0.00052712%","1"
"0xe47c78f3561ac71c40202291af282a3714a70b1b","","632.99406509 ETH","0.00052712%","7"
"0xd508ae10d94dbac8ab3002d4f30d62bb1639e986","","632.78995865 ETH","0.00052695%","1"
"0xa6beed5aee8259cf8e67078983d9031cc26d2a4c","","632.776378 ETH","0.00052694%","6"
"0x3a70a2a0399a3d6af714a4dc9317c7faa0131ce9","","632.77371933 ETH","0.00052693%","14"
"0xeb580bb141a9afb2eddb3eae7bd7c6a5cb4a2d32","","632.61850958 ETH","0.00052681%","24"
"0x29dfcf1f32cc4a0583332b98654e058b210d669f","","632.3576791 ETH","0.00052659%","3"
"0x04b8b696403c9c9abfd7e0b6d496e187a2986a0c","","632.1672461 ETH","0.00052643%","3"
"0x9ee74360a880032031d47897fb5fc6077c9fe92c","","632.15742968 ETH","0.00052642%","7"
"0x70ae135c92c72ba9be845a2967cffbeac22443d4","","632.000001 ETH","0.00052629%","4"
