Address,Name Tag,Balance,Percentage,Txn Count
"0x22fe235195ece7130e8f38cd75849d12cb62d0e5","","1,254.428251 ETH","0.00104461%","29"
"0x2e28379c687fbe268bb4ce56cc52f53cb3c53e29","","1,254.0972 ETH","0.00104433%","1"
"0x2193b93624d88ae8f015d32734b3df7efed99de5","","1,253.18062609 ETH","0.00104357%","12"
"0x6ebb4b896965e8d4ff877ee8a5b4dcffceacd99b","","1,252.99482179 ETH","0.00104342%","1"
"0x4662eb5edd04f1904f5692577153c8cb8788c3ba","","1,252.57959559 ETH","0.00104307%","16"
"0xed0a2a90210704a6935efa75e39d83bb259eaac9","","1,252.55446975 ETH","0.00104305%","8"
"0x00c8f088ce0625b4f6ca5d5167124f1c8fe24083","","1,252.30179271 ETH","0.00104284%","24"
"0x875fed2223f5ce57ca1c8bfd62ffb03360aa19dd","","1,251.8 ETH","0.00104242%","17"
"0x3cdfb5868ff61949824c6a6bb608661ecffe5178","","1,251.56431582 ETH","0.00104222%","3"
"0x1d22eef879a8bcc96005965782ab0c5e23d4f6a2","","1,251.32791514 ETH","0.00104203%","56"
"0x162e69ef539f045369461827c44edcc80c53e5ae","","1,251.01799999 ETH","0.00104177%","9"
"0x3e2bf308b20b4143af9b513216d74b7037a8f893","","1,250.99499999 ETH","0.00104175%","15"
"0x26118efcb65565f4f92ad4b3ea303ecf52fba4fd","","1,250.9 ETH","0.00104167%","13"
"0x6eeff000e878c6f01f2b4f03637042fe43cdec2a","","1,250.38482739 ETH","0.00104124%","3"
"0x47e2c8fa3df0d1d043e00fe7e60ee4f3873fa3e0","","1,250.37852829 ETH","0.00104124%","1"
"0x0e1aaaccfc0ae25fa611aeec5815239993651a0b","","1,250.10324738 ETH","0.00104101%","1"
"0x5bb2649718cd4f6c5838b6ba58ae643e82ec1333","","1,250.101 ETH","0.00104101%","1"
"0xbd7ab80407d7323fd432098b8b38aa5e67e19379","","1,250.04781796 ETH","0.00104096%","6"
"0x0d18ac240d13d1faa32224a7135b3a8b83f09cf8","","1,250.03431418 ETH","0.00104095%","58"
"0x19dab035077de76f5f0eb22d7995bf9522c2176e","","1,250.00025012 ETH","0.00104092%","9"
"0x7b6f730249555a85d39327b90f0080e9dc63daff","","1,249.9996691 ETH","0.00104092%","12"
"0x8b1e977e43ed43a3a27bb3fcf509544c1554e6c9","","1,249.95560538 ETH","0.00104089%","276"
"0x1cc7457775892ef064f5ef9fbedbee399c2bc65e","","1,249.79705141 ETH","0.00104075%","7"
"0xee02ce550c99a8235d13a398a834d027de9b3b9d","","1,249.62092472 ETH","0.00104061%","3"
"0xf6b6f07862a02c85628b3a9688beae07fea9c863","","1,249.40685552 ETH","0.00104043%","2,697"
"0x4ab0284bca638876250a0b783df6e72f44ff60d8","","1,249.09970137 ETH","0.00104017%","2"
"0x4aa0a68f5bfdf37e2869a2f93e4065d8389d83dc","","1,248.99638151 ETH","0.00104009%","29"
"0x5f1e948db72300b0120858e11f88077dfb270424","","1,248.9 ETH","0.00104001%","1"
"0x42a93a9f5cfda54716c414b6eaf07cf512f46ead","Fee Recipient: 0x42A...eAD","1,248.85889675 ETH","0.00103997%","5,318"
"0xb111850177a7e2eeead27050259dbbbb82e58aa7","","1,248.71056741 ETH","0.00103985%","53"
"0xec853c1066b4e2d925f7da643c3e00028f67ecdd","","1,248 ETH","0.00103926%","1"
"0xf7c7f12c1db4df8ffe07d493f223b6280ce68a75","","1,247.973996 ETH","0.00103924%","11"
"0x8993bc40f7599e40e65fcc945045b4eb6148c38e","","1,247.42024629 ETH","0.00103877%","8"
"0xe94da6b1271d5a8b58eb35c4074778cf07d5007c","","1,247.26539864 ETH","0.00103864%","33"
"0x27099256bbd9c94c48e5cc489e5d2aa84e579acc","","1,247.05450872 ETH","0.00103847%","14"
"0x17e8d28fbee4adab1a52bbd01d2919c127396d54","","1,246.85145304 ETH","0.00103830%","22"
"0xbad8c2511d0da615f0dec75069ca8bc40d268738","","1,246.1256896 ETH","0.00103770%","2"
"0x8e04af7f7c76daa9ab429b1340e0327b5b835748","Fund: 0x8e0...748","1,246.05133478 ETH","0.00103763%","34,863"
"0x89931d411cfb957a6787b462e4a0b9632d009b14","","1,245.8908909 ETH","0.00103750%","5"
"0x6c7b86f7806873eae1660572164240b4224c0c81","","1,244.52887242 ETH","0.00103637%","5"
"0xbe46e9466315b4603982835cba9fedc9ec447573","","1,243.48806011 ETH","0.00103550%","3"
"0xbf1cce1e768f5f6dbc8ac7aaacfc31bb312f9a29","","1,243.43823467 ETH","0.00103546%","8"
