Address,Name Tag,Balance,Percentage,Txn Count
"0x0b1920be8ef090fe04682cfb2b6553c51643f27d","","600 ETH","0.00049964%","1"
"0x94e912fa068f09f10d5c7d38a82e5f9835f183da","","600 ETH","0.00049964%","1"
"0xf7518bd5b8e74b9efd1778f8df722e6f26c93b27","","600 ETH","0.00049964%","0"
"0x0397453bb7db560a039d474c5693578fdb6096c4","","600 ETH","0.00049964%","5"
"0xa14703b1da572e3ddf4803113eb32159209199db","","600 ETH","0.00049964%","7"
"0xca595682bd45750be3123e19226d07a163bf1952","","600 ETH","0.00049964%","2"
"0xd276437ccb5b62a3790405445858c20fdfeb8870","","600 ETH","0.00049964%","2"
"0xedae3708c601e7f1b80f2733138150e02ce18eea","","600 ETH","0.00049964%","2"
"0xd206aaddb336d45e7972e93cb075471d15897b5d","","600 ETH","0.00049964%","1"
"0x6679aeecd87a57a73f3356811d2cf49d0c4d96dc","","600 ETH","0.00049964%","1"
"0x991173601947c2084a62d639527e961512579af9","","600 ETH","0.00049964%","1"
"0xa2e501f3cec36497131f1530bdaa9cd5147bbf20","","599.999999 ETH","0.00049964%","85"
"0xc4b272c503a5fbd48d214c35f85073a8eba7bfcf","","599.999916 ETH","0.00049964%","3"
"0x0271cf61b9f36f05d4016c3d1243fe7b52142910","","599.9997317 ETH","0.00049964%","7"
"0xad3f94bdbbc265b04defd2f15967a0ce8537ed3d","","599.999685 ETH","0.00049964%","1"
"0x7711010ebfc39774d570dc11ea0873361f8fe39b","","599.999559 ETH","0.00049964%","1"
"0xbb0366a7cfbd3445a70db7fe5ae34885754fd468","","599.99895 ETH","0.00049964%","43"
"0xc7737abe2f62dd3ca90d5e80752aba01f90d6429","","599.99832 ETH","0.00049964%","3"
"0x0739e6c0a339ac473f58922c0cb41704b2bb09ae","","599.99832 ETH","0.00049964%","2"
"0xac8cc0f0af1780a7c018c4ed902e04c006e82aa0","","599.9983 ETH","0.00049964%","1"
"0xb28056a2a1b3ac5677eab110b972fa409c5b79b4","","599.99542509 ETH","0.00049964%","10"
"0xed261d20609264a3f92e2a5cc2fdbe31ce093474","","599.9952456 ETH","0.00049964%","12"
"0x9181b474348037fa0dc308bfdc6032e177a13a00","","599.989139 ETH","0.00049963%","2"
"0x9562a71660d31728f904e6790465b2613fd1e579","","599.9481495 ETH","0.00049960%","3"
"0x26261c94968b2cfce0b9518a63537b2db89e2937","","599.94470748 ETH","0.00049960%","692"
"0x722d574d9f4f493226ab9cae6870d6bcf456d53a","","599.92257678 ETH","0.00049958%","8"
"0x28eb2bb8cbfc97f9a73ba9b9b93aa27eecee3e0c","","599.919685 ETH","0.00049958%","5"
"0x0ab1aaffdb374914d90b7628d771ae1f601329f0","","599.91838102 ETH","0.00049957%","20"
"0xbe54b5bff314eeba03cb86db8f92a525b3203180","","599.91132715 ETH","0.00049957%","8"
"0xd03e30c0b6cfabe342f10556aa85fa9dbc05b64b","","599.9 ETH","0.00049956%","2"
"0x692552c4e0c7f51266c19fee7ddac4f6c5b3d8c7","","599.89228343 ETH","0.00049955%","20"
"0xa73c9444970bff7630411b1fbcd9e2f5fb7eec45","","599.88072 ETH","0.00049954%","0"
"0x17002cc32d7624ebf6fd0f62ac259ce103d42cf9","","599.80076192 ETH","0.00049948%","17"
"0x5e57fbffa460a367025e5d426cf2ef5edd4a9fc0","","599.7595938 ETH","0.00049944%","0"
"0x76622b64066d7fd7b0493b77cd4fc5bc69fe45ac","","599.72082 ETH","0.00049941%","0"
"0xa25370b1c958e801b2e319f0f06a8a814837cb0c","","599.6 ETH","0.00049931%","3"
"0x0f84d5a197c9a0158ee07680424f28e6005898b4","","599.54324558 ETH","0.00049926%","39"
"0x7a116e008272887fb0b2ff8d83a9daa5685717db","","599.53031379 ETH","0.00049925%","82"
"0x66a50982fb62a678ee0cef8288af2940cc1999d1","","599.4512625 ETH","0.00049919%","39"
"0x5d7577b6382135afac6d18f122a500921cd7aaf8","","599.40512177 ETH","0.00049915%","13"
"0xd34e04aad89468289c38da2e104553feaeaa830c","","599.36682846 ETH","0.00049912%","4"
"0x29fc5aacd613410b68c9c08d4e1656e3c890e482","","599.35439579 ETH","0.00049911%","680"
"0x924bfaea7aa006b73e068933e9cfac7d16860f85","","599.20092886 ETH","0.00049898%","3"
"0x7d7afb41e0942f1c41b73043b06512434dd59b2d","","599.18440511 ETH","0.00049896%","45"
"0xc67456777782d3ed79df05bddbb19e2b6354b182","","599.07719922 ETH","0.00049887%","19"
"0xae72cd02b46b6a5bba6b90efb06b6ba31bb485c2","","599.0235504 ETH","0.00049883%","5"
"0x155b23081106418f1caf5fe78d4d55b190ebe6e2","","598.99941674 ETH","0.00049881%","5"
"0x6e17e44ff7f59abf4bdc330ef618927fdbafc150","","598.98187459 ETH","0.00049879%","3"
"0xd74ef58f6560bd42254b14ab2a0e7d7cf30ebde1","","598.95849278 ETH","0.00049878%","1"
"0xffad3dd74e2c1f796ac640de56dc99b4c792a402","","598.95778989 ETH","0.00049877%","61"
"0x1e16db397bc3661a4ebad44ed15c23d9ef930527","","598.85857936 ETH","0.00049869%","3"
"0x8105740bf60795d9edcdcea6d4cdd603c21659d1","","598.5214471 ETH","0.00049841%","1"
"0x8f0e7db4c95d1d2b933a1041fd376b9d312588b6","","598.47751682 ETH","0.00049837%","59"
"0x61f3901ca538f68f62f5a280648cb10115e6244f","","598.2435561 ETH","0.00049818%","253"
"0xae472c0b4a078388af3072bab35304eada0360be","","598.1957855 ETH","0.00049814%","36"
"0xeb5e886b80be6ee8d5a05a2b5437a899333c4036","","598.079 ETH","0.00049804%","11"
"0xe61037f2176172639415b97bcb4f04777107be81","","598.03126381 ETH","0.00049800%","272"
"0x0c6a92565003487407ecfd243c6e5fe4fbd836f8","","598.01657311 ETH","0.00049799%","17"
"0x16b3728033790f8df520120f40917ff076e91043","","598.005 ETH","0.00049798%","1"
"0x1dedd7e552fde71fde11f96ff3e3ac66b2f2e63b","","597.93039681 ETH","0.00049792%","4"
"0x2d1be901b5245ed378b3e5879ab00570210871aa","","597.71 ETH","0.00049774%","18"
"0x534a3f890f07c690167566867876dbf2656773ce","","597.64814707 ETH","0.00049768%","1"
"0xe2362a51fe36ecc732fdfa49f92cbd50fb55c333","","597.55648357 ETH","0.00049761%","2"
"0x2c1f7769709bed6738e9611819bf16d32eb27d66","","597.53877867 ETH","0.00049759%","9"
"0xa73b5db77c14cbc753da35bbf8fef7888d46c69c","","597.36844409 ETH","0.00049745%","60"
"0xe8d8881b257d44efb7110f07c856d3de7b5156a7","","597.15005777 ETH","0.00049727%","76"
"0x393f783b5cdb86221bf0294fb714959c7b45899c","","597.12905844 ETH","0.00049725%","48"
"0xa07c40137ae485d60521eaa1fae5681096ba87a4","","597.06153717 ETH","0.00049720%","3"
"0xc440971479819a7aab422362817231036249e10a","","597.02894524 ETH","0.00049717%","61"
"0x9748927698b722978cea1aef56e288aeb5746226","","597.02562444 ETH","0.00049717%","4"
"0xcc4d620b58094b4dc085d03721b4a8598bb96ef5","","597 ETH","0.00049714%","0"
"0x564e82722bb9a4e46f48875c25de11aad310883e","","596.91324595 ETH","0.00049707%","0"
"0x46360daa04d34f817466b1e03b4257d675e03804","","596.66542207 ETH","0.00049687%","72"
"0xd046cb71ae98ba76afb58d917867a096fefa7911","","596.34811289 ETH","0.00049660%","8"
"0x940d962a59fa4b90d736f11fd9e11ae16a6f2cac","","596.19046082 ETH","0.00049647%","25"
"0x2cbba1c91d639e878f30e7236a24c367e42ec2f9","","596.18379145 ETH","0.00049646%","11"
"0x5db8e9605de5cd567293518fca840536a5ac3a91","","596.11303109 ETH","0.00049641%","20"
"0x54e9ea685cf72d4690e6ece98997ca4acc60b239","","596.03514 ETH","0.00049634%","20"
"0xd2a658dc7dec440f1d930cb8525705b34b3af1ea","","595.99958 ETH","0.00049631%","1"
"0xe3be0145527a9c004d012e4c9b2ffed4cb971edb","","595.93873843 ETH","0.00049626%","23"
"0x029a250f2e9d3a2980b29efd417ca4544552d571","","595.88130724 ETH","0.00049621%","50"
"0x28d1036d50775b35f4e154aae43bd2e3920ebaff","","595.859491 ETH","0.00049619%","12"
"0xc9fa8e2565c54ece1eb744faaf7a64ebf81444fd","","595.8397398 ETH","0.00049618%","67"
"0x89c1818511e86e703cfc194983f47a471f2d2317","","595.72821225 ETH","0.00049609%","1"
"0x3fa744f1173641bdfdc12f2ef725e71d1455abaa","","595.6739996 ETH","0.00049604%","17"
"0x86b72a6295e4fe4f0d4b6ae29f71618f6e3bd048","","595.44572275 ETH","0.00049585%","26"
"0xeb47e04912b858fcb67b25e4136ba54437ae739f","","595.35335553 ETH","0.00049577%","15"
"0xc519411b4140099a5b4d6b2a3f36e92a873dc143","","595.33577081 ETH","0.00049576%","1"
"0xdfb9eb801558ce547ec31a093e0429be7c0160d3","","595.04701961 ETH","0.00049552%","2"
"0x3514a64b40a12bc49a800e02d5678991e7c2095d","","595 ETH","0.00049548%","2"
"0xeb36a385a9a25ffc7172464f32cefec0dcd82a5f","","594.989116 ETH","0.00049547%","15"
"0x8a3ed2890aafc487d8261c3c479eb876b357991d","","594.42160174 ETH","0.00049500%","36"
"0x4f77ae854910cfde349a2cc348b31578d958cf9d","","594.27 ETH","0.00049487%","19"
"0x70d1f0d64cc4f152d5f1eb98a836d2b7413d2904","","594.03142515 ETH","0.00049467%","266"
"0x47c663ba238fb5c66fa7ac92c33a86a41da261de","","594 ETH","0.00049465%","5"
"0x18a0d7a54c5ad33978d58b4be6d4dac38b2feb05","","593.95466169 ETH","0.00049461%","4,910"
"0xeb87881d24c979c3ff28de5c144c9d0840d8e5f0","","593.82900592 ETH","0.00049450%","9"
"0x6682a3ba4ed20f503e2ae891fd17df60c478dbe7","","593.68829309 ETH","0.00049439%","13"
"0x8fe3bdfbe4fa3806ee87ef1b65bc7c3e5ffa5937","","593.60700714 ETH","0.00049432%","130"
"0x728744f0c85b1fbd31a71ed9d938d0741a9ef248","","593.32609415 ETH","0.00049409%","327"
