Address,Name Tag,Balance,Percentage,Txn Count
"0xfdee07fe950d4a045485b98dc84ac7539ef83a6e","","629.99462018 ETH","0.00052462%","75"
"0x07382e06600117491688182d6c1724adf83eaadc","","629.94888846 ETH","0.00052458%","4"
"0xff1f29489d008d89fc35336bb29b57a134870b49","","629.85413492 ETH","0.00052450%","9"
"0xbafb2e386dacabe34abaa1a860f73bc491b44ed3","","629.84218542 ETH","0.00052449%","166"
"0xa5995359b9941e060e366b4ee3ebb6a9f47649be","","629.72746706 ETH","0.00052440%","1,820"
"0x80270b12a8e4e23f1e75d3a497520b8e45b762d9","","629.715255 ETH","0.00052439%","7"
"0x65e862280a960c9214ba09e1c2bfa6e235391104","","629.59868582 ETH","0.00052429%","3"
"0x2d2362f2a521a6c178106640ccb0cd35d39ccf90","","629.5657491 ETH","0.00052426%","29"
"0xc49020069ec6e99d34718abcbe07a7938426c1b1","","629.32086923 ETH","0.00052406%","4"
"0x33c0d33a0d4312562ad622f91d12b0ac47366ee1","","629.26817736 ETH","0.00052402%","6,361"
"0x7a15866affd2149189aa52eb8b40a8f9166441d9","","629.07788133 ETH","0.00052386%","1,515"
"0xfb370d50ae14d90cbc0c5da2273bb45139bd115e","","629.04780881 ETH","0.00052383%","7"
"0xfb30b18df03f4fc233edb129129b8c637b157016","","629 ETH","0.00052379%","1"
"0x0679dbb7d19e46ad9b5aefede43a0713b5dd3328","","628.998412 ETH","0.00052379%","1"
"0x96b8a37640c74415b9496a0cfba5be86a23d8037","","628.91396075 ETH","0.00052372%","65"
"0x31132c8b68d4ad42509381e26637013155adfaad","","628.91090495 ETH","0.00052372%","19"
"0x55dc565ce0b65ef65a65dfb5201029c5476b0759","","628.84118111 ETH","0.00052366%","45"
"0x2c8f1e9c7e66bfee1bffa3804837ba4793d1a7e4","","628.67264975 ETH","0.00052352%","4"
"0x486073f09cd85e8cd41c21dc3503d5104444f11b","","628.39559505 ETH","0.00052329%","72"
"0x45826e30cce87df4376c7b78ac459df1b2a418da","","628.35499415 ETH","0.00052325%","11"
"0xd047f16223a4465a1f855d28249ba1ab312df589","","628.3317153 ETH","0.00052324%","2"
"0xf414d817bebb5d35b6a50f9b8e2461987934f694","","627.98360799 ETH","0.00052295%","2"
"0x7c2d9bc73c758b5d4c42984fc3ac381105713f1f","","627.86828617 ETH","0.00052285%","23"
"0xc191bd7f2f7bd8820936d68fbcc95cf1f9003584","","627.57631708 ETH","0.00052261%","8"
"0x29766d27690d00de79bc8882753eae14e30241e7","","627.45500198 ETH","0.00052251%","16"
"0x7a8cbfbd249ea1d5c55ee92af8f0bc7aba0474b6","","627.17495031 ETH","0.00052227%","2,563"
"0xcd2386cb3e036e7eaa7d7d18de7fb48bc2c8735a","","627.14412869 ETH","0.00052225%","20"
"0x83573c9c9394043f1bcf77bed8cb893eb9de0bb3","","627.10746774 ETH","0.00052222%","4"
"0xa51d191494c25ae546f13a3ed19c210f5b4f0de0","","627.09300536 ETH","0.00052220%","28"
"0x2630eda13b0d338d78d95e12bf0fdbcbce469c54","","626.87540817 ETH","0.00052202%","19"
"0x3781effe218c2abd067c624ee209c19f1335fa22","","626.83758654 ETH","0.00052199%","4"
"0x8a74e78414fe3fb782a49f102bd63c0b6e8381cd","","626.82035523 ETH","0.00052198%","3"
"0x817d9a13d94caf50fa945e3f7bb0291f95037dfa","","626.69687 ETH","0.00052187%","1"
"0x1111e6e6c91baed8dfa33396b20324c0da673333","","626.67361214 ETH","0.00052185%","22"
"0x64623b1e4250b787568d510611989eca71d92e1c","","626.51928499 ETH","0.00052173%","16"
"0x6cd1eae4de2b3394bdcbe07d9104602e192f977c","","626.45290941 ETH","0.00052167%","9"
"0x002c1d8fb92f4673456237eb2659ef8558e38924","","626.07202 ETH","0.00052135%","21"
"0x89467da4baff56c271bdef412efa512e55ae9fd9","","626.04991038 ETH","0.00052134%","1"
"0x580b7b47a664dd2d13b707e059d4cdb7842074ab","","626.01862642 ETH","0.00052131%","20"
"0x1e15c4b60db50c41f36968585bf7ee6f8fa21585","","625.963667 ETH","0.00052126%","1"
"0x45a00f0baf926f17f70af564e9cfff7b23fb4d3f","","625.80783328 ETH","0.00052113%","4"
"0xfd150dfddd87ab6d7bcb24e27014acebf7ff6b99","","625.80113644 ETH","0.00052113%","14"
"0xa5856dc54bdb6b3a42ae9e8fbdd4baa02831d3b4","","625.05839008 ETH","0.00052051%","90"
"0x2417c193eede5e4490e16a5ce40dc8e6bfb22224","","625.00120362 ETH","0.00052046%","0"
"0x951eda59a9bc937267d0931ebaa52a351e08ad80","","625 ETH","0.00052046%","3"
"0x519f92981851a743995f4ad80137eee5fa9dc27e","","625 ETH","0.00052046%","1"
"0xbd3724329998205b1ad2c935be3a964f29ede0a1","","624.72710684 ETH","0.00052023%","2"
"0x3bb1721b0333d2e7870f615f8c97d72125a85992","","624.69759733 ETH","0.00052021%","23"
"0x62afe63b48e14bbc0d200dc62c2a6f664f7dbc7b","","624.43033466 ETH","0.00051999%","31"
"0xd2355e1cd6f7f2b0f4b855a6985655e77c126f65","","624.42580998 ETH","0.00051998%","12"
"0x65c0d24e5b64b0822bef681509c3a219d455d809","","624.39607263 ETH","0.00051996%","30"
"0x04436cdfde29a80245fac00b33b9f4e588ff9576","","624.32098696 ETH","0.00051990%","1"
"0x23abeabdfef9305cb0ef91108af50a19b0843d02","","624.09956316 ETH","0.00051971%","223"
"0x3c64472cc7f8c18da7f14b4439b6f0bfc22b63df","","623.912328 ETH","0.00051956%","4"
"0xe58604c0540cb59fb8a2371ec8151c8ddde70c31","","623.8518129 ETH","0.00051950%","6"
"0xf1415c376b6b2f53af870fb6c56d57eee8e5dc07","","623.67161029 ETH","0.00051935%","24"
"0x6d589ae18ab58a6a27e921753767136535bf5e38","Fee Recipient: 0x6D5...E38","623.51335965 ETH","0.00051922%","323"
"0xe5ca1dbe16a171b8025f8686749ce3291cabd240","","623.39591014 ETH","0.00051913%","69"
